UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin
102126,33.201134,-111.056428,Road Grade,Kearny,AZ,85137,Grade,,"3600 ft elev, Several 10 percent grades, all 1-2 miles in length along this 20 mile stretch between Superior and Kearny, AZ.",roadgrade_pushpin
102208,33.3415,-111.014192,Road Grade,Miami,AZ,85539,Grade,,"4600 ft elev, 14 ft clearance tunnel east of Superior, North: Many 6-7 percent grade climbs and descents along route with overall descending towards Miami. Many short stretches but there are up to 7 mile long 6 percent grade descents, South: Many 6-7 percent grade climbs and descents along route with overall climbing towards Superior. Many short stretches but there are up to 7 mile long 6 percent grade climbs.",roadgrade_pushpin
102212,34.826663,-111.609986,Road Grade,Munds Park,AZ,86017,Grade,,"6400 ft elev, South: 6 percent grade for 13 miles. SB descent. NB climb.",roadgrade_pushpin
102220,32.624485,-110.749669,Road Grade,Oracle,AZ,85623,Grade,,"4400 ft elev, North: 7 percent grade descent for 12 miles with mix of mild grades, South: 7 percent grade climb for 12 miles",roadgrade_pushpin
102224,36.668832,-111.62471299999999,Road Grade,Page,AZ,86040,Grade,,"6000 ft elev, South: 4 miles of 6 percent grade. SB descent.",roadgrade_pushpin
102238,34.06201,-111.360648,Road Grade,Payson,AZ,85541,Grade,,"3200 ft elev, Lowpoint, South: Many 5-7 percent grade climbs and descents, North: Many 5-7 percent grade climbs and descents",roadgrade_pushpin
102239,34.183370000000004,-111.334383,Road Grade,Payson,AZ,85541,Grade,,"4690 ft elev, South: 7 percent grade descent in short sections followed by 6 percent grade descent for 5.5 miles.",roadgrade_pushpin
102240,34.287290000000006,-111.140156,Road Grade,Payson,AZ,85541,Grade,,"5400 ft elev, West: 3-4 miles of 6 percent grade. Overall 260 has many short 6 percent grade hills. WB descent. 2 lane rd.",roadgrade_pushpin
102338,34.487776000000004,-112.50150900000001,Road Grade,Prescott,AZ,86303,Grade,,"6000 ft elev, 40 ft limit, Between Wilhoit and Prescott, up and down 6 percent grades both directions, tight curves most of 15 miles stretch.",roadgrade_pushpin
102363,33.536101,-110.92811100000002,Road Grade,Roosevelt,AZ,85545,Grade,,"4000 ft elev, North: 7 percent grade descent for 1 miles and 6 percent for 4 miles down to lake area, a brake check area at top of the hill. South: 6 percent grade descent for 3 miles toward Globe, a break and then 2 more 6 percent miles.",roadgrade_pushpin
102364,33.596319,-111.203299,Road Grade,Roosevelt,AZ,85545,Grade,,"2000 ft elev, 22 ft limit, 24 miles of gravel road, steep, narrow and curvy.",roadgrade_pushpin
102412,34.443513,-111.452444,Road Grade,Strawberry,AZ,85544,Grade,,"7100 ft elev, South: Starts with mild 4 percent grade descent for 2.5 miles followed by 6 percent grade descent for 4 miles into Strawberry. Another 6 percent grade descent for 3 miles to Pine. More short ups and downs south to Payson.",roadgrade_pushpin
102515,33.797765000000005,-110.504186,Road Grade,Whiteriver,AZ,85941,Grade,,"3357 ft elev, Lowpoint, North: 6 percent grade descent for 3 miles, a mile break and then 6 percent grade descent for 5 miles., South: 5-6 percent grade descent for 7 miles, 2 mile break and then 6 percent grade descent for 5.5 miles. Closer to Globe, there is another 6 percent grade descent for 8 miles followed by a 8 mile break and then a 6 percent grade descent for 4 miles.",roadgrade_pushpin
102519,34.504293,-113.409176,Road Grade,Wikieup,AZ,85360,Grade,,"3200 ft elev, South: Many 5-6 percent grade descents and climbs. With many curves and high traffic, it is a very deadly road. AllStays used to drive this route a lot and you need to stay alert for Phoenix to Las Vegas speeders., North: Many 5-6 percent grade descents and climbs.",roadgrade_pushpin
102531,35.223077,-112.321193,Road Grade,Williams,AZ,86046,Grade,,"6500 ft elev, West: 6 miles of 6 percent grade. WB descent",roadgrade_pushpin
102541,34.214641,-112.75513899999999,Road Grade,Yarnell,AZ,85362,Grade,,"5000 ft elev, 40 ft limit, Between 93 and Yarnell, 5.5 miles of 6 percent grade, SB descent.",roadgrade_pushpin
102553,32.659863,-114.333522,Road Grade,Yuma,AZ,85367,Grade,,"800 ft elev, East: 6 percent grade descent for 2 miles, West: 5-6 percent grade descent for 2 miles",roadgrade_pushpin
103657,38.331002000000005,-119.63770500000001,Road Grade,Arnold,CA,95223,Grade,,"9552 ft elev, May be closed in winter. Trucks should use extreme caution or avoid. Many trucks have problems each year and require help., Eastbound: 10-15 percent grade descents for 10 miles with a very short 26 percent grade. This is a narrow winding road with sharp curves., Westbound: 10-15 percent grade descents for 10 miles followed by 6 percent grade for 8 miles.",roadgrade_pushpin
103739,33.829347999999996,-116.79625700000001,Road Grade,Banning,CA,92220,Grade,,"5146 ft elev, Northbound: 7 percent grade descent for over 6 miles into Banning.",roadgrade_pushpin
103775,34.189876,-116.7177,Road Grade,Big Bear,CA,92314,Grade,,"8412 ft elev, Northbound: 6 percent grade descent for 4 miles., Southbound: 6 percent grade for 7 miles.",roadgrade_pushpin
103776,34.277803999999996,-116.814004,Road Grade,Big Bear,CA,92314,Grade,,"6739 ft elev, Northbound: 9-16 percent grade descent for 7 miles of sharp curves and switchbacks, followed by 5-6 percent for another 3 miles.",roadgrade_pushpin
103778,37.155390999999995,-119.24571999999999,Road Grade,Big Creek,CA,93605,Grade,,"6634 ft elev, Southbound: 7 percent grade for 7 miles",roadgrade_pushpin
103782,37.291245,-118.15268400000001,Road Grade,Big Pine,CA,93513,Grade,,"7306 ft elev, Tractor-trailers over 30 ft kingpin to rear axle not advised., Eastbound: 9 percent grade descent for 1 mile followed by 7 percent for 2.5 miles followed by 6 percent for 3 miles with 25 and 35 mph curves., Westbound: 6-9 percent grade descents for 9.5 miles with 25-35 mph curves. About 3 miles down from peak, there is a quarter mile long section of one lane road through rocks.",roadgrade_pushpin
103783,37.429887,-117.941927,Road Grade,Big Pine,CA,93513,Grade,,"6374 ft elev, Eastbound: 8 percent grade descent for 1 mile followed by 6 percent grade for 2 miles., Westbound: 6-9 percent grade descent for 4 miles with 15-25 mph curves.",roadgrade_pushpin
103803,33.145385,-116.35483,Road Grade,Borrego Springs,CA,92004,Grade,,"1747 ft elev, Northbound: 4-6 percent grade descent for 4 miles., Southbound: 8 percent grade descent for .75 mile after a short 5 percent stretch.",roadgrade_pushpin
103804,33.210506,-116.494607,Road Grade,Borrego Springs,CA,92004,Grade,,"4193 ft elev, Eastbound: 8 percent grade descent for 11 miles with a stop sign at the end in Borrego Springs.",roadgrade_pushpin
103848,38.652975,-122.59978999999998,Road Grade,Calistoga,CA,94515,Grade,,"2246 ft elev, Northbound: 7 percent grade for 4 miles with sharp curves., Southbound: 7 percent grade for 6 miles with sharp curves and switchbacks",roadgrade_pushpin
103849,41.276742,-122.698066,Road Grade,Callahan,CA,96014,Grade,,"5376 ft elev, North: 7 percent grade for 6 miles., South: 8 percent grade for 6 miles with a few higher grades up to 10 percent. Many sharp curves and switchbacks.",roadgrade_pushpin
103850,39.617061,-120.492922,Road Grade,Calpine,CA,96124,Grade,,"6714 ft elev, Eastbound: 5-7 percent grade descent for 6 miles., Westbound: 7 percent grade descent for 1 mile followed by 5 percent for 3.5 miles and then 2-4 percent for 3.5 miles. The grades and descent continue through Sierra City, across a one lane bridge and the narrow main street of Downieville, CA.",roadgrade_pushpin
103927,33.679961,-115.977604,Road Grade,Coachella,CA,92236,Grade,,"1680 ft elev, Use caution in any vehicle on this road due to stress and overheating., Eastbound: 13 mile climb, reverse of westbound., Westbound: 4-5 percent grade for 13 miles.",roadgrade_pushpin
103933,37.30304,-119.649961,Road Grade,Coarsegold,CA,93614,Grade,,"2987 ft elev, 9 percent grade descents and climbs",roadgrade_pushpin
103934,38.347815999999995,-119.336525,Road Grade,Coleville,CA,96107,Grade,,"7519 ft elev, Both directions are mild but have some short 3-5 percent sections.",roadgrade_pushpin
103996,37.67628,-120.158676,Road Grade,Coulterville,CA,95311,Grade,,"2263 ft elev, Northbound: 9 percent grade for 4 miles in and out of Bagby Canyon over Merced River. 6 percent grade descent for 3 miles into Coulterville",roadgrade_pushpin
103997,37.738073,-120.154302,Road Grade,Coulterville,CA,95311,Grade,,"3246 ft elev, 5-8 percent grade short descents followed by a 8 percent grade for 4 miles heading to Coulterville",roadgrade_pushpin
104006,34.230990999999996,-117.29201499999999,Road Grade,Crestline,CA,92325,Grade,,"4299 ft elev, Southbound: 7 percent grade descent for 10 miles with a stop light at the bottom in town.",roadgrade_pushpin
104007,34.26001,-117.30171399999999,Road Grade,Crestline,CA,92325,Grade,,"4486 ft elev, Not recommended for large vehicles, Eastbound: 9-10 percent grade desents for 4 miles, followed by 11 miles of average road, followed by 11-14 percent grades for 5 miles of switchbacks into Crestline.",roadgrade_pushpin
104019,36.400957,-117.27989099999999,Road Grade,Death Valley,CA,92328,Grade,,"4953 ft elev, Use caution in any vehicle on this road due to stress and overheating. Commercial trucks prohibited in Death Valley NP., Eastbound: 6 percent grade for 3 miles with 30 mph tight curves, followed by 8 percent grade for 5 miles, followed by 6 percent grade for 5 miles., Westbound: 9 percent grade descent for 6 miles with tight curves, followed by 5 percent grade for 2 miles. Mar 2015: RVer with 38 ft 5th wheel reported losing brand new brakes in less than 900ft on this grade and had to be towed.",roadgrade_pushpin
104020,36.786809999999996,-116.93118500000001,Road Grade,Death Valley,CA,92328,Grade,,"4315 ft elev, No commercial trucks allowed in Death Valley., Northbound: Half mile of 7 percent grade with 30mph curves followed by 5 percent for 2 miles., Southbound: 6-8 percent grade for 13 miles of winding 25, 30 and 45 mph curves. Stop sign at bottom of hill at junction of 374 and 267.",roadgrade_pushpin
104031,40.593816,-123.012042,Road Grade,Douglas City,CA,96024,Grade,,"3660 ft elev, North: 6 percent grade descent for 6 miles., South: 6 percent grade descent for 4 miles.",roadgrade_pushpin
104102,34.825041999999996,-115.084498,Road Grade,Essex,CA,92332,Grade,,"2591 ft elev, Eastbound: 3-5 percent grade descent for 5 miles, Westbound: 3 percent grade descent for 7 miles",roadgrade_pushpin
104115,41.967595,-123.74692399999999,Road Grade,Eureka,CA,95501,Grade,,"2155 ft elev, 6-7 percent grade descents",roadgrade_pushpin
104136,37.485381,-119.63188999999998,Road Grade,Fish Camp,CA,93623,Grade,,"4972 ft elev, Southbound:  percent grade descent for over 5 miles long.",roadgrade_pushpin
104173,41.676053,-122.726054,Road Grade,Fort Jones,CA,96032,Grade,,"4136 ft elev, 7 percent grade descent for 3 miles in both directions",roadgrade_pushpin
104304,40.826865000000005,-123.485827,Road Grade,Hayfork,CA,96041,Grade,,"1471 ft elev, East: 5 percent descent for 4 miles, Westbound: 7 percent for 7 miles and 40 mph speed limits and curves.",roadgrade_pushpin
104341,37.066307,-121.21954299999999,Road Grade,Hollister,CA,95023,Grade,,"1358 ft elev, Eastbound: 5-6 percent grade for 3 miles., Westbound: 5-6 percent grade descent for 3 miles.",roadgrade_pushpin
104346,38.988702,-122.98572800000001,Road Grade,Hopland,CA,95449,Grade,,"2415 ft elev, Eastbound: 6 percent grade for 3 miles followed by a short 10 percent grade descent followed by 6 percent again., Westbound: 7 percent grade for 4 miles with 15-20 mph curves.",roadgrade_pushpin
104350,36.767845,-118.956594,Road Grade,Hume,CA,93628,Grade,,"6820 ft elev, Not recommended for large vehicles, Eastbound: 7 percent grade descent for a few miles followed by a 6-7 percent grade 9 mile stretch.",roadgrade_pushpin
104383,33.080287,-116.589171,Road Grade,Julian,CA,92036,Grade,,"4127 ft elev, Eastbound: 6 percent grade for 5 miles",roadgrade_pushpin
104384,37.77487,-119.014252,Road Grade,June Lake,CA,93529,Grade,,"8041 ft elev, Northbound: mild grades with a short 5 percent descent, Southbound: 6 percent grade descent for 2 miles, followed by a short climb followed by 6.5 miles of stepping descents that are a mostly mild 3-5 percent.",roadgrade_pushpin
104388,38.894473,-122.78836000000001,Road Grade,Kelseyville,CA,95451,Grade,,"2845 ft elev, Southbound: 8 percent grade for 2 miles into Cobb, CA followed by 8-11 percent grade descent for 3 miles.",roadgrade_pushpin
104394,36.192763,-120.76361999999999,Road Grade,King City,CA,93930,Grade,,"2712 ft elev, Eastbound: 7 percent grade for 1 mile followed by 5 percent grade with slow curves, Westbound: 7 percent grade descent for 4 miles of 30-40 mph curves.",roadgrade_pushpin
104399,41.691437,-124.107156,Road Grade,Klamath,CA,95548,Grade,,"1171 ft elev, Northbound: 7 percent grade for 3.75 miles.",roadgrade_pushpin
104408,33.652753000000004,-117.40562299999999,Road Grade,Lake Elsinore,CA,92530,Grade,,"2680 ft elev, Eastbound: 7 percent grade descent for 5 miles with a stop sign at the bottom at Lake Elsinore.",roadgrade_pushpin
104444,40.474848,-121.501626,Road Grade,Lassen Volcanic National Park,CA,96063,Grade,,"8532 ft elev, North: 5-6 percent grade for 5 miles and a few switchbacks., South: 5 percent grade for 11 miles to junction with 36",roadgrade_pushpin
104454,34.855756,-118.874824,Road Grade,Lebec,CA,93243,Grade,,"3367 ft elev, Northbound: 6 percent grade descent for 5 miles but in a mix of other milder grades and short 5 percent stretches over a total 12 mile descent, Southbound: 6 percent grade for 2 miles and then stepping descent for the next 20 miles followed by a brake check area. Then more 5 percent grade descent for 5 miles followed by milder grade descent.",roadgrade_pushpin
104460,37.912581,-119.257754,Road Grade,Lee Vining,CA,93541,Grade,,"9920 ft elev, May be closed in Winter. Commercial trucks prohibited in Yosemite National Park., Eastbound: 7-8 percent grade descent for 5 miles followed by 5 percent and less grades for 3 miles., Westbound: 6 percent grade descents with the road becoming more narrow and rough after national park entrance.",roadgrade_pushpin
104465,40.635125,-122.733772,Road Grade,Lewiston,CA,96052,Grade,,"3280 ft elev, No tractor trailers over 30 ft length between kingpin and rear axle., East: 6 percent for 5 miles and then 4 percent for 1.75 miles. 20 mph hairpins with occasional extra passing lane., Westbound: 6 percent for 2 miles and then 3 miles of milder grade followed by steeper 6 percent for 2 miles.",roadgrade_pushpin
104567,37.544458,-118.63964399999999,Road Grade,Mammoth Lakes,CA,93546,Grade,,"6965 ft elev, Southbound: Brake check area followed by 6-7 percent grade descent for 8 miles.",roadgrade_pushpin
104573,38.543987,-119.81226299999999,Road Grade,Markleeville,CA,96120,Grade,,"8730 ft elev, Not recommended for vehicles over 25 ft, Eastbound: 6 miles of 9-11 percent grade descent with 10 mph hairpins on this narrow, no center stripe road., Westbound: 5 miles of 6-10 percent grade descent followed by 3 miles of 10-12 percent grade climb to Pacific Grade Summit. The following summit descent is stepping down for 52 miles with short grades up to 6-7 percent.",roadgrade_pushpin
104574,38.672142,-119.625689,Road Grade,Markleeville,CA,96120,Grade,,"8254 ft elev, Eastbound: 5 percent grade for 1 mile followed by 8 percent grade for 8 miles with 25-40 mph curves., Westbound: 7-10 percent grade descent for 7.5 miles with a 20 mph truck speed limit. The bottom has a stop sign at the 89 and 4 junction.",roadgrade_pushpin
104575,38.694353,-119.985405,Road Grade,Markleeville,CA,96120,Grade,,"8573 ft elev, East: 8 percent grade for 3 miles followed by 6 percent for 2 miles. After the 88 and 89 junction, there are 9 miles of 3.5 percent to 7 percent grades., Westbound: 5 miles of 5-6 percent followed by rolling grades.",roadgrade_pushpin
104589,35.351221,-119.821708,Road Grade,McKittrick,CA,93251,Grade,,"3120 ft elev, 6-7 percent grade on both sides from this summit with switchbacks to the east, not recommended for vehicles over 36 feet",roadgrade_pushpin
104599,40.261926,-121.451715,Road Grade,Mineral,CA,96061,Grade,,"4496 ft elev, No tractor trailers over 30 ft length between kingpin and rear axle., Narrow, curvy road with steep grades in both directions.",roadgrade_pushpin
104600,40.365283000000005,-121.535486,Road Grade,Mineral,CA,96061,Grade,,"5745 ft elev, Eastbound: 6 percent grade descent for 3 miles with 35 mph curves, Westbound: 6 percent grade descent for 3 miles with 35 mph curves",roadgrade_pushpin
104601,36.714669,-118.98966200000001,Road Grade,Miramonte,CA,93641,Grade,,"4904 ft elev, Not recommended for large vehicles, Southbound: 7-9 percent grade descent for 5 miles to Pinehurst, followed by constant hills, followed by 7-9 percent grade descents again for over 5 miles after Badger.",roadgrade_pushpin
104640,40.852287,-121.761972,Road Grade,Montgomery Creek,CA,96065,Grade,,"4368 ft elev, Eastbound: 6 percent grade descent for 3 miles., Westbound: 6 percent grade for a half mile followed by 6 miles of rolling hills up to 6 percent grade descents. Then 6 percent grade for 3 miles.",roadgrade_pushpin
104653,33.58395,-116.43195,Road Grade,Mountain Center,CA,92561,Grade,,"3934 ft elev, Signs say: over 30ft pin to axle not advised. Eastbound: 7 percent grade descent for 10 miles of curves and drop offs into Palm Desert., Westbound: 6 percent grade descent for 9 miles with curves and drop offs.",roadgrade_pushpin
104677,34.857948,-114.876846,Road Grade,Needles,CA,92363,Grade,,"2522 ft elev, Eastbound: 6 percent grade descent for 2 miles, Westbound: 4 percent grade descent for 4 miles",roadgrade_pushpin
104689,34.200377,-118.95898600000001,Road Grade,Newbury Park,CA,91320,Grade,,"758 ft elev, Northbound: 7 percent grade descent for 2 miles, Southbound: 7 percent grade for 2 miles",roadgrade_pushpin
104760,32.645518,-116.105282,Road Grade,Ocotillo,CA,92259,Grade,,"3088 ft elev, Wind warnings, Eastbound: 6 percent grade descent for 9 miles",roadgrade_pushpin
104762,34.541039000000005,-119.240672,Road Grade,Ojai,CA,93023,Grade,,"3692 ft elev, Northbound: 6 percent grade descent for 5 miles., Southbound: 5-6 percent grade descent for 11 miles with two 13-6 tunnels.",roadgrade_pushpin
104764,36.379668,-117.596746,Road Grade,Olancha,CA,93549,Grade,,"4782 ft elev, Use caution in any vehicle on this road due to stress and overheating. Commercial trucks prohibited in Death Valley NP., Eastbound: 7 percent grade descent for 11 miles., Westbound: Stepping grades of 3, 5 and 7 percent for 12 miles to Owens Lake area.",roadgrade_pushpin
104781,35.662744,-118.026404,Road Grade,Onyx,CA,93255,Grade,,"5266 ft elev, Use extreme caution in large vehicles. Rocks are right up to side of road., Eastbound: 5 percent grade for 8 miles, Westbound: 7 percent grade descent for a mile and then 5 percent for several miles followed by milder grades.",roadgrade_pushpin
104785,41.384537,-123.994925,Road Grade,Orick,CA,95555,Grade,,"1471 ft elev, Northbound: 7 percent grade for 3 miles.",roadgrade_pushpin
104797,39.759513,-121.479782,Road Grade,Oroville,CA,95965,Grade,,"2130 ft elev, Eastbound: 4 percent grade descent for 6 miles on this narrow road. Shoulder may not exist in some places. It includes one very sharp right turn onto a high river bridge., Westbound: 4-6 percent grade descent for 6 miles with a couple of short mild sections.",roadgrade_pushpin
104816,34.265427,-118.09449099999999,Road Grade,Palmdale,CA,93550,Grade,,"4776 ft elev, Westbound: 5-6 percent grade for over 14 miles heading into a residential area and stops.",roadgrade_pushpin
104844,33.286916,-116.88453600000001,Road Grade,Pauma Valley,CA,92061,Grade,,"2720 ft elev, Westbound: 7-8 percent grade descent for 5 miles with switchbacks and curves.",roadgrade_pushpin
104857,34.3493,-117.44681200000001,Road Grade,Phelan,CA,92371,Grade,,"4270 ft elev, Southbound: 6 percent grade descent for 4 miles follwed by milder for 3 miles and then 5 percent for 5 miles.",roadgrade_pushpin
104863,39.953899,-123.77996200000001,Road Grade,Piercy,CA,95587,Grade,,"565 ft elev, 6-7 percent grade on and off for 2 miles",roadgrade_pushpin
104865,32.807241999999995,-116.50499199999999,Road Grade,Pine Valley,CA,91962,Grade,,"3987 ft elev, Wind warnings, Eastbound: 6 percent grade for 3 miles and then a milder climb followed by a 6 percent grade climb for 4 miles., Westbound: 5 percent grade descent for 2 miles, then a climb and then 6 percent grade for 13 miles.",roadgrade_pushpin
104883,40.381598,-123.013405,Road Grade,Platina,CA,96076,Grade,,"3813 ft elev, Amazing road for cars and redwood trees. Not recommended for large vehicles at all., East: 6 percent grade for miles. Mostly curves., West: 7-8 percent grade for miles. The road is all curves and narrow. Then there are 9-10 percent grades for a couple miles at a time.",roadgrade_pushpin
105022,34.204935,-117.123939,Road Grade,Running Springs,CA,92382,Grade,,"5768 ft elev, Northbound: 7 percent grade for over 14 miles.",roadgrade_pushpin
105211,35.347773,-120.63001499999999,Road Grade,San Luis Obispo,CA,93405,Grade,,"1513 ft elev, Southbound: 7 percent grade for 3 miles",roadgrade_pushpin
105242,34.508714000000005,-119.82081200000002,Road Grade,Santa Barbara,CA,93105,Grade,,"2140 ft elev, Eastbound: 7 percent grade descent for 3 miles followed by 6 percent grade for over 2 miles with 25 mph curves, Westbound: 7 percent grade descent for 4 miles.",roadgrade_pushpin
105323,36.573406,-118.76351799999999,Road Grade,Sequoia National Park,CA,93262,Grade,,"6592 ft elev, Not recommended for large vehicles. 22 ft not recommended south of Giant Forest Highway., Southbound: 6-9 percent grade descent for 16 miles of switchbacks, drop offs and sharp curves. High stress exhausting route.",roadgrade_pushpin
105327,37.079284,-119.333611,Road Grade,Shaver Lake,CA,93664,Grade,,"5562 ft elev, Northbound: 7 percent grade for 11 miles with a intersection at the bottom.",roadgrade_pushpin
105330,40.518415999999995,-121.68285700000001,Road Grade,Shingletown,CA,96088,Grade,,"4375 ft elev, Westbound: 5-6 percent grade descents for most of this route. Much traffic and rigs coming up fast on you make this a long tense drive.",roadgrade_pushpin
105331,35.794694,-116.340185,Road Grade,Shoshone,CA,92384,Grade,,"2099 ft elev, Northbound: Milder 3-4 percent grade for 7 miles., Southbound: 4-6 percent grade for 7 miles.",roadgrade_pushpin
105332,35.923333,-116.43293600000001,Road Grade,Shoshone,CA,92384,Grade,,"3177 ft elev, Eastbound: 5 percent grade descent for 1 mile, Westbound: 7 percent grade for 4.5 miles",roadgrade_pushpin
105357,38.795553999999996,-119.96341100000001,Road Grade,South Lake Tahoe,CA,96150,Grade,,"7720 ft elev, Northbound: 7 percent grade descent for 4 miles., Southbound: 7 percent grade descent for 2 miles; East on 88 from this junction has about 9 miles of 3-8 percent grades with mostly 4-6 percent",roadgrade_pushpin
105358,38.818612,-120.03488700000001,Road Grade,South Lake Tahoe,CA,96150,Grade,,"7382 ft elev, Eastbound: 4 miles of 5-6 percent grade descents., Westbound: Stair stepping descent for a few miles followed by 6 percent grade for 3 miles. There is a 6-7 percent grade heading into a milder grade in Kyburz, CA and then 3 miles of 5-6 percent grade after the town.",roadgrade_pushpin
105361,36.104968,-118.534768,Road Grade,Springville,CA,93265,Grade,,"7139 ft elev, Eastbound: A big mix of a couple dozen miles of 7-9 percent grades, rough road and unmarked switchbacks and curves.",roadgrade_pushpin
105400,40.356895,-120.869504,Road Grade,Susanville,CA,96130,Grade,,"5748 ft elev, Eastbound: 6 percent grade descent for 3 miles., Westbound: 6 percent grade descent for 2 miles.",roadgrade_pushpin
105401,40.463144,-120.57418600000001,Road Grade,Susanville,CA,96130,Grade,,"5433 ft elev, Southbound: 6-7 percent grade descent for 4 miles towards Susanville, CA",roadgrade_pushpin
105408,35.153915999999995,-118.472103,Road Grade,Tehachapi,CA,93560,Grade,,"3820 ft elev, Westbound: 4-6 percent grade for 3 miles followed by 8 miles of rolling hills with more short 4-6 percent grade stretches. The another 10 miles of 5-6 percent grade stretches with short milder stretches.",roadgrade_pushpin
105445,39.339940000000006,-120.346828,Road Grade,Truckee,CA,96161,Grade,,"7230 ft elev, Eastbound: 5 percent grade descent for 3 miles followed by 2-4 percent for 3 miles followed by rolling hills., Westbound: Overall 40 miles of mostly short descents up to 5-6 percent but overheating brakes are the big issue here.",roadgrade_pushpin
105551,40.740884,-122.979977,Road Grade,Weaverville,CA,96093,Grade,,"2823 ft elev, Eastbound: 8 percent grade descent for 3 miles., Westbound: 8 percent grade descent for 3 miles.",roadgrade_pushpin
105559,37.981078000000004,-118.32103700000002,Road Grade,West Bishop,CA,93514,Grade,,"7140 ft elev, Eastbound: 6 percent grade descent for 3 miles and then flat for 3 miles. Then the highway steps down at 3-4 percent grades with a few very short 6 percent stretches for a total of 12 miles., Westbound: 6 percent grade descent for 2.5 miles followed by 4 percent for a mile.",roadgrade_pushpin
105584,39.738561,-123.81688700000001,Road Grade,Westport,CA,95488,Grade,,"26 ft elev, Northbound: 7 percent grade for 4.5 miles as you head into Leggett, Southbound: 7 percent grade descent with some mild sections.",roadgrade_pushpin
