State,HWY #,Location,Height,Inches,Posted,Height.1
VA,US 13,Kiptopeke,13.0,3.0,,
VA,US 13,Kiptopeke- 1 Mile South,13.0,3.0,,
VA,US 13,Cheasapeake Bay Bridge Tunnel- 7 Miles North of US 60,13.0,3.0,,
VA,US 15,Orange,13.0,6.0,,
VA,US 250,Yancey Mills- 7.3 Miles East of Junction I-64,13.0,3.0,,
VA,US 501,Rustburg- 0.2 Miles North of VA 25,13.0,3.0,,
VA,US 58/ VA 337,"Portsmouth- Midtown Toll Tunnel, Both Ends",13.0,3.0,,
VA,US 60,Covington- 0.8 Miles West of Junction US 220,13.0,5.0,,
VA,US 60/I-64 WB,Hampton Roads Bridge Tunnel,13.0,3.0,,
VA,VA 102,bluefield- 0.2 Miles North of US 19,8.0,9.0,,
VA,VA 110,Arlington- 0.5 Miles Southeast of US 50,13.0,4.0,,
VA,VA 113,Bristol,12.0,9.0,,
VA,VA 130,Glasgow- East at Blue Ridge Parkway Overpass,13.0,6.0,,
VA,VA 166,Cheasapeake- at Junction US 13/460,13.0,5.0,,
VA,"VA 2/ Bus. US 17 
NB, SB",Fredericksburg- 0.5 Miles south of VA,13.0,6.0,,
VA,VA 218,Ferry Farms- 0.6 Miles East of VA 3,13.0,5.0,,
VA,VA 24 WB,Vinton- East of Blueridge Parkway Overpass,13.0,0.0,,
VA,VA 240,Crozet,11.0,6.0,,
VA,VA 254,Staunton- Just East of US 11 Overpass,13.0,1.0,,
VA,VA 27 WB,Arlington- at US 50 (Arlington Boulevard),13.0,0.0,,
VA,VA 31,"Scotland- at James River Erry, Both Banks",12.0,3.0,,
VA,VA 311 SB,Crows- 3.5nMiles North,12.0,11.0,,
VA,VA 360,Danville- 1.7 Miles North of US 58/360,12.0,3.0,,
VA,VA 39,Goshen- 0.1 Mile South of VA 42,11.0,10.0,,
VA,VA 5,Richmond- 0.8 Miles South of US 80,12.0,11.0,,
VA,VA 57,Martinsville- 0.9 Miles West of Bus. US 220,9.0,9.0,,
VA,VA 7,Alexandria- 0.6 Miles West of US 1,13.0,0.0,,
CO,"BR US 50 EB 
(Santa Fe Ave)",Pueblo - South of I-25/US85/87 at Arkansas River,13.0,10.0,,
CO,Bus. CO 24,Manitou Springs -Milepost 3.14,13.0,10.0,,
CO,CO 14,"Poudre Park - Tunnel 437 miles West, Milepost 107.25",14.0,5.0,,
CO,CO 144,"Fort Morgan - I-76 Overpass, Milepost 0.01",13.0,5.0,,
ND,"Bus 81 SB     
(University Dr)",Fargo- 0.1 Mile North of Main Avenue,13.0,7.0,,
ND,"Bus 83 NB      
(9th St)",Bismark- 0.1 Mile South of Main Avenue,13.0,11.0,,
ND,"Bus US 2       
(Demers Ave)",Grand Forks- at Red River Bridge,13.0,0.0,,
ND,"Bus US 81   
(Main Ave)",Fargo,13.0,9.0,,
ND,"Bus US 81 NB 
(10th St)",Fargo- 0.1 Mile North of Main Avenue,14.0,0.0,,
ND,"Bus US 83 SB 
(7th St)",Bismark-n 0.1 Mile South of Main Avenue,13.0,9.0,,
ND,ND 14,Towner- 0.4 Mile North of US 2,13.0,7.0,,
ND,ND 22,Dickinson- 1.2 Miles South of I-94,13.0,10.0,,
ND,ND 8,Stanley- 0.9 Mile North of US 2,14.0,0.0,,
ND,US 10/52/I-94,Casselton- 0.5 Mile West of ND 18,13.0,9.0,,
NJ,"NJ 93 (Grande 
Ave)","PalisadesPark - US 46 Overpass, Mile Marker 0.61",13.0,5.0,,
NJ,NJ 94,"Hainesburg - Scranton Branch Overpass, Mile Marker 2.20",13.0,6.0,,
NJ,Parsonage Rd,"Edison, Between Hwy 27 and County Rd 659 IV",8.0,6.0,,
NJ,US 1/9,Elizabeth - Mile Marker 44.6,13.0,3.0,,
NJ,US 1/9,"Elizabeth - Elizabeth River Viaduct (Elizabeith St), Mile Marker 43.94",12.0,10.0,,
NJ,US 1/9/46,"Palisades Park - Oakdene Ave Overpass, Mile Marker 63.86",13.0,5.0,,
NJ,US 130,Brooklawn (South of Gloucester City) mile Marker 25.61,13.0,6.0,,
NJ,US 202,Morris Plains - Mile Marker 46.96,13.0,6.0,,
NJ,US 30,"Camden - Baird Blvd Overpass, mile Marker 2.49",13.0,4.0,,
CA,CA 110 NB,Los Angeles-College Street Overpass,13.0,6.0,,
CA,CA 110 NB,Los Angeles-Hill Street Overpass,14.0,0.0,,
CA,CA 110 NB,Los Angeles-Tunnel 0.5 miles Southwest of I-5,13.0,0.0,,
CA,CA 110 SB,Los Angeles-I-5 Overpass,14.0,0.0,,
CA,CA 110 SB,Los Angeles-0.2 miles Northeast of I-5,14.0,0.0,,
CA,CA 129 WB,River Oaks-2.8 miles west of US 101,14.0,0.0,,
CA,"CA 151 EB, WB",Summit City - Coram Overpass,13.0,9.0,,
CA,"CA 160 NB      
(16 St. )",Sacremento-0.6 miles South of American River,13.0,10.0,,
CA,CA 2,Angeles National Forest-West of CA 39 at Angeles Crest Tunnels,13.0,6.0,,
CA,CA 238 SB,Fremont-2.2 miles North of I-680,14.0,10.0,,
CA,"CA 33 NB, SB",Ventura-Matilija Tunnels,13.0,0.0,,
CA,CA 41,Atascadero-1.3 mile Northeast of US 101,13.0,2.0,,
CA,"CA 48 NB, SB",Rio Vista-12 miles Northwest of Yolo County line,13.0,1.0,,
CA,CA 70,Marysville-0.7 miles North of CA 20,14.0,0.0,,
CA,"CA 70 EB, WB",Spanish Creek Tunnel South of Camp Alexander at milepost 35.55,13.0,0.0,,
CA,CA 70 WB,Belden-East of North Fork at Feather Ridge Bridge,13.0,3.0,,
CA,I-80,San Francisco Oakland Bay Tunnel,13.0,10.0,,
CA,US 101,Thousand Oaks-3.9 miles West of CA 23,14.0,0.0,,
WA,I-5 NB,Seattle- Ramp Northbound on I-5 to WA 522 (Lake City Way),13.0,8.0,13.0,8.0
WA,I-5 NB,Vader- Ramp Northbound on I-5 to Westbound on WA 506,13.0,8.0,13.0,8.0
WA,Stadium Way,"Pullman- Washington State University Campus, Between Highway 27 and Highway 
270: Stadium Way at Nevada State",13.0,8.0,13.0,8.0
WA,Stadium Way,"Pullman- Washington State University Campus, Between Highway 27 and Highway 
270: Stadium Way at Niell Hall Crossing",13.0,5.0,13.0,5.0
WA,Stadium Way,"Pullman- Washington State University Campus, Between Highway 27 and Highway 
270: Stadium Way at Grimes Way",13.0,9.0,13.0,9.0
NY,NY 352 WB,Elmira- East of NY 14,13.0,6.0,,
NY,NY 354,Buffalo- 0.7 Miles West of US 62,12.0,3.0,,
NY,NY 354,Buffalo- 1 Mile West of US 62,13.0,6.0,,
NY,NY 354,Buffalo- 1.4 Mile West of US 62,12.0,10.0,,
NY,NY 356,Tonawanda- 0.3 Mile East of NY 384,13.0,0.0,,
NY,NY 362,Bliss- 0.4 Mile North of Junction Ny 39,13.0,5.0,,
NY,NY 366,Varna,13.0,8.0,,
NY,NY 37,Malone- 0.5 Mile North of Us 11,13.0,7.0,,
NY,NY 370,Liverpool- 1.3 Mile Northwest of I-81,10.0,9.0,,
NY,NY 370,Syracuse- at Junction I-81,10.0,6.0,,
NY,NY 370,Syracuse- 0.5 Mile Northwest of US 11,12.0,3.0,,
NY,NY 372,Greenwich,11.0,11.0,,
NY,NY 38,Owego,13.0,7.0,,
NY,NY 38/96,Owego- South at NY 17 Overpass,9.0,6.0,,
NY,NY 383,Scottsville- 1 Mile West,13.0,10.0,,
NY,NY 384,Buffalo- at Junction NY 198,13.0,3.0,,
NY,NY 384,Niagra Falls- 0.6 Miles east of NY 61,13.0,7.0,,
NY,NY 385,Coxsackie- 0.8 Miles East of US 9W,13.0,5.0,,
NY,NY 41,Afton,13.0,11.0,,
NY,NY 417,Portville- 0.4 Miles East of NY 305,13.0,3.0,,
NY,NY 42,Lexington,13.0,11.0,,
NY,NY 443,Delmar- 2.4 Miles Southwest,13.0,6.0,,
NY,NY 443,Elsmere,13.0,6.0,,
NY,NY 46,Oneida- 0.2 Mile North of NY 5,13.0,8.0,,
NY,NY 470,Cohoes- 0.8 Miles Southwest of NY 32,10.0,10.0,,
NY,NY 49,Utica- 1 Mile West of NY 12,13.0,11.0,,
NY,NY 495,New York City- Queens Midtown Tunnel,12.0,9.0,,
NY,NY 495,New York City- East End of Lincoln Tunnel Access,13.0,11.0,,
NY,NY 495,New York City- Lincoln Tunnel,13.0,0.0,,
NY,NY 5,Syracuse- 1.4 Miles West of US 11,12.0,2.0,,
NY,NY 5,Scotia- 2.5 Miles West of NY 147,13.0,11.0,,
NY,NY 5/US 20,Canandaigua-0.1 Mile Southwest of NY 332,11.0,7.0,,
NY,NY 55,Billings- 1.3 Miles West at Taconic Street Parkway Overpass,13.0,9.0,,
NY,NY 59,Nanuet- at NY 304 Overpass,13.0,10.0,,
NY,NY 63,Griegsville- 0.2 Mile West of NY 36,13.0,10.0,,
RI,"Blackstone 
Avenue",Pawtucket,9.0,3.0,,
RI,Church Street,Valley Falls,12.0,7.0,,
RI,High Street,"Central Falls- Approximately 0.75 Mile South of RI 123 and 0.1 Mile East of RI 114 
(Broad Street)",11.0,3.0,,
RI,High Street,"Central Falls- Approximately 1.5 Miles South of RI 123 and 0.25 Mile East of RI 114 
(Broad Street)",9.0,9.0,,
RI,Lincoln Avenue,"Lincoln Park- 0.3 Mile South of RI 37, Between I-95 and US 1 (Boston Post Road)",10.0,3.0,,
RI,Main Street,Woonsocket,12.0,7.0,,
RI,West Street,Westerly,11.0,5.0,,
SC,SC 10,McCormick- 2 Miles Northwest,10.0,6.0,,
SC,"SC 146 (Wood-
ruff Rd)",Greenville- 0.25 Mile East of US 276,13.0,6.0,,
SC,SC 177,"5 Miles North of SC 9, North of Cheraw",13.0,6.0,,
SC,"SC 183 NB (Ce-
dar Lane)",Greenville- 1 Mile West of Business US 25,13.0,4.0,,
SC,SC 823,Little River Bridge- Approximately 3 Miles North of Mt. Carmel,12.0,7.0,,
SC,SC 86,Piedmont- 0.09 Mile East of Junction SC 20,11.0,6.0,,
SC,SC 86,Piedmont- 0.13 Mile East of Junction SC 20,11.0,8.0,,
SC,US 25,Edgefield- 0.6 Mile South of SC 23,13.0,6.0,,
MO,I-70 BL,Columbia - at Paris Rd Overpass,14.0,0.0,,
MO,MO 100,Gasconade - Gasconade River Bridge,13.0,10.0,,
MO,"MO 12 EB    
(Truman Rd)",Independence - 0.4 miles West of Sterling Ave,13.0,11.0,,
MO,"MO 12 WB    
(Truman Rd)",Independence - 0.4 miles West of Sterling Ave,13.0,5.0,,
MO,MO 13,Higginsville -0.5 miles South of US 24,13.0,8.0,,
MO,MO 13,Polo - 0.3 miles South of MO 116,13.0,8.0,,
MO,MO 168,Palmyra - 1.1 miles West of Jct. County Rd C at North River Bridge,13.0,9.0,,
MO,MO 19,Cuba - 0.7 miles North of I-44,13.0,10.0,,
MO,MO 19,New Florence - 2 miles North of I-70,13.0,9.0,,
MO,MO 21,Paulina Hills - East of Meramec River Bridge,13.0,9.0,,
MO,MO 28,Dixon - 0.2 miles South of County Road C,13.0,10.0,,
MO,MO 30,Affton - 0.3 Miles East of Jct MO 21,13.0,9.0,,
MO,MO 350 EB,Raytown - 1.7 miles Southeast of I-435 at Blue Ridge Blvd Overpass,13.0,7.0,,
MO,MO 350 WB,Raytown - 1.7 miles Southeast of I-435 at Blue Ridge Blvd Overpass,14.0,0.0,,
MO,MO 5,Laclede - 0.5 miles North of US 36,13.0,10.0,,
MO,MO 5,Marceline - 2.4 miles South of US 36,13.0,11.0,,
MO,MO 5,Syracuse - 0.1 Miles North of US 50,13.0,9.0,,
MO,MO 94,West Alton - 0.1 miles West of US 67,12.0,9.0,,
MO,MO 94,West Alton - 0.5 miles West of US 67,12.0,7.0,,
MO,MO Spur 180,Pagedale - 0.2 miles north of Jct Rte. D (Page Ave),13.0,8.0,,
MO,US 159,Missouri River Bridge,12.0,10.0,,
MO,US 24,Kansas City - 0.2 miles west of Jct. I-435,12.0,3.0,,
MO,US 24 EB,West Quincy - at Mississippi River,13.0,10.0,,
MO,US 36 EB,Bucklin - 0.8 miles West of MO 129,13.0,9.0,,
MO,US 40,Kansas City - South of I-70 at Blue Ridge Blvd Overpass,13.0,4.0,,
MO,US 40,Kansas City - Topping Ave Overpass,13.0,6.0,,
MO,US 50,Sedalia - 1.3 miles East of US 65,13.0,9.0,,
PA,US 29,Phoenixville- 1.1 Mile Northeast of PA 23,13.0,6.0,,
PA,US 30,Stoytown- PA 281 Overpass,13.0,5.0,,
PA,"US 30 (Girard 
Ave)",Philadelphia- Just West of Belmont Avenue,13.0,2.0,,
PA,US 30 WB,Chambersburg- 0.35 Mile East of US 11,13.0,5.0,,
PA,US 322,Downingtown- 0.25 Mile South of BR 20,10.0,3.0,,
PA,US 6,Mill Village- West at French Creek Bridge,13.0,6.0,,
PA,US 62,Mercer- 1.5 Mile Northeast of Junction US 19,12.0,3.0,,
PA,US 62,Tionseta- 3 Miles Southwest at Allegheny River Bridge,13.0,1.0,,
WY,XR I-80,Union Int.- at Milepost 33.18,13.0,8.0,,
WY,XR I-80,BLM Road Int.- at Milepost 154.06,13.0,10.0,,
WY,XR I-80,GL Roal Int.- at Milepost 156.03,13.0,11.0,,
WY,XR I-80,Tipton Int.- At Milepost 158.55,13.0,10.0,,
WY,XR I-80,Red Desert Int.- at Milepost 165.58,13.0,6.0,,
WY,XR I-80,Booster Road Int.- at Milepost 166.92,13.0,11.0,,
WY,XR I-80,Frewen Road Int.- at Milepost 170.68,13.0,10.0,,
WY,XR I-80,Rasmussen Road Int.- at Milepost 170.68,13.0,11.0,,
WY,XR I-80,Daley Int.- at Milepost 201.16,13.0,7.0,,
WY,XR I-80,Hadsell Int.- at Milepost 206.18,13.0,9.0,,
WY,XR I-90,County Road- at Milepost 23.54,13.0,11.0,,
WY,XR I-90,Inyan Kara Int.- at Milepost 172.09,14.0,0.0,,
IL,"IL 1 NB, SB",Crete - 4.78 miles North of Jct. IL 394,13.0,5.0,,
IL,"IL 19 EB, WB","Chicago - West of I-90/94, 4200 West",13.0,0.0,,
IL,"IL 19 EB, WB 
(Irving Park Rd)","Chicago - 0.25 miles West of Ashland Ave., 1800 West",13.0,5.0,,
IL,IL 25 NB,Montgomery - 0.5 miles South of US 30,13.0,0.0,,
IL,"IL 25 SB    
(Broadway)",Aurora - 0.3 miles South of New York St.,13.0,0.0,,
IL,"IL 43 NB       
(Harlem Ave)",East Forest - 0.5 miles North of Madison St.,13.0,0.0,,
IL,"IL 43 SB       
(Harlem Ave)",River Forest - 0.5 miles South of Madison St.,13.0,1.0,,
IL,"IL 50 NB, SB 
(Cicero Ave)",Chicago - South of I-90,13.0,2.0,,
IL,"IL 53 NB, SB 
(Chicago St)",Joliet - South of Washington St.,13.0,2.0,,
IL,"IL 62 NB, SB",Geneseo - 0.5 miles North of US 6,10.0,0.0,,
IL,"IL 64 EB, WB 
(North Ave)",Chicago - 0.3 miles East of Pulaski Rd,13.0,2.0,,
IL,"IL 64 EB, WB 
(North Ave)",Chicago - East of I-90/94,12.0,10.0,,
IL,"IL 7, NB, SB 
(Southwest Hwy)",Palos Park - 86 Ave Overpass,13.0,2.0,,
IL,"IL 7, NB, SB 
(Southwest Hwy)",Palos Park - 123 Street Overpass,13.0,2.0,,
IL,"US 12/20 EB, 
WB (95th Street)",Chicago 1.7 to 3.4 miles East of I-94,13.0,1.0,,
IL,"US 12/20 EB, 
WB (95th Street)",Chicago - East of Chicago Skyway,13.0,5.0,,
IL,"US 14 EB, WB 
(Peterson Ave)",Chicago - 0.75 miles East of Western Ave,12.0,6.0,,
IL,"US 14/41 EB, 
WE (Foster Ave)",Chicago - East of Broadway,11.0,11.0,,
IL,"US 150 (Spring-
field Ave)",Champaign - US 45/150 Entry,12.0,7.0,,
IL,US 30 EB,Joliet - 0.6 miles East of IL 53,13.0,6.0,,
IL,"US 30 EB (Jef-
ferson St)","Joliet - Broadway, West of Des Plaines River",12.0,7.0,,
IL,US 30 WB,Joliet - 0.6 miles East of IL 53,13.0,4.0,,
IL,"US 45/150 NB 
(Springfield Ave)",Champaign - 0.1 miles East of Neil St.,12.0,8.0,,
IL,"US 45/150 SB 
(Springfield Ave)",Champaign - 0.1 miles East of Neil St.,12.0,7.0,,
IL,"US 45/52 NB, SB 
(Water St)",Kankakee - 0.1 miles East of Washington Ave.,12.0,9.0,,
IL,"US 52 EB, WB",Kankakee - 0.1 mile East of IL 115,12.0,8.0,,
IL,"US 6EB, WB",Joliet - 0.5 miles North of IL 53,12.0,2.0,,
NY,NY 130,Depew- 1.4 Miles West of US 20,13.0,11.0,,
NY,NY 146,Schenectady- 3.5 Miles North of NY 7,13.0,11.0,,
NY,NY 14A,Reading Center- 0.7 Mile northwest of NY 14,13.0,10.0,,
NY,NY 15,Lakeville- 2 Miles North of Alternate US 20,13.0,8.0,,
NY,NY 158,Rotterdam- 0.7 Mile South of NY 7,13.0,8.0,,
NY,NY 16,East Aurora,13.0,10.0,,
NY,NY 16,Machias- 0.1 Mile North of MY 242,13.0,11.0,,
NY,NY 16,West Seneca- at I-90 Overpass,13.0,11.0,,
NY,NY 16 WB,Buffalo- 0.5 Mile West of Fillmore Avenue,12.0,7.0,,
NY,NY 164,Towners,12.0,5.0,,
NY,NY 164,Towners,12.0,4.0,,
NY,NY 164,Towners,12.0,0.0,,
NY,NY 17,Corning- 1.2 Mile Northwest of Junction US 15,13.0,11.0,,
NY,NY 17,Harriman- 0.9 Mile West of I087,13.0,11.0,,
NY,NY 173,Syracuse- 3 Miles South of I-81,13.0,11.0,,
NY,NY 182,Niagra Falls- at Niagra River,13.0,10.0,,
NY,NY 19,Brockport- 0.5 Mile South of New York State Barge Canal,11.0,8.0,,
NY,NY 19,Rock Glen- 0.7 Mile South,13.0,6.0,,
NY,NY 198,Buffalo- 1.7 Mile East of I-190,13.0,11.0,,
NY,NY 19A,Silver Springs- 1.6 Mile Southeast of NY 19,13.0,0.0,,
NY,NY 201,Johnson City- 0.7 Mile South of Exit 70 on NY 17,11.0,11.0,,
NY,NY 208,Washingtonville- 2.5 Miles North,9.0,2.0,,
NY,NY 211,Otisville,12.0,6.0,,
NY,NY 22,North Hoosick- 0.1 Mile South of NY 67,13.0,11.0,,
NY,NY 22 A,Garanville- 2.6 Miles Northeast of NY 22,11.0,10.0,,
NY,NY 22 SB,Petersburg- at Junction NY 2 and NY 22,13.0,1.0,,
NY,NY 23,catskill- 0.5 Mile East of NY 385,12.0,11.0,,
NY,NY 237,Holley- 0.4 Mile North of NY 59,12.0,11.0,,
NY,NY 249,Farnham- 0.3 Mile East of NY 5,11.0,0.0,,
NY,NY 25,Mineola- at Northern State Parkway Overpass,13.0,5.0,,
NY,NY 25,New York City- Queensboro Bridge Over East River,8.0,5.0,,
NY,NY 25,New York City- 0.1 Mile East of I-278,13.0,10.0,,
NY,NY 25,New York City- 0.1 Mile East of I-495,13.0,8.0,,
NY,NY 25,Smithtown- 0.5 Mile West,13.0,10.0,,
NY,NY 25,Smithtown- 1 Mile West,13.0,8.0,,
AR,AR 106,"Batesville-west, 2.43 miles West of AR 69",10.0,6.0,,
AR,AR 134,Garland-Jct. US 82,13.0,5.0,,
AR,AR 187,"Beaver-between US Hwy 63 and AR Hwy 23, the Beaver Bridge at the White River/
Tablerock Lake*(Reported by an individual, not listed on other maps)",11.0,6.0,,
AR,AR 247,Pottsville-0.11 miles South of US 64,11.0,1.0,,
AR,AR 282,Mountainburg-Approx. 4.5 miles Southwest,13.0,1.0,,
AR,AR 296,Mandeville-Approx. 0.5 miles Southwest,11.0,0.0,,
AR,AR 307,Briggsville-2.5 miles South of Fourche LaFave River,13.0,0.0,,
AR,AR 365,North Little Rock-0.4 miles West of US 70,13.0,0.0,,
LA,Bus. LA 1,Natchitoches,13.0,1.0,,
LA,Bus. US 165,Pineville,11.0,10.0,,
LA,LA 15,Alto-Boeuf River Bridge (Curb),13.0,1.0,,
LA,LA 23,Belle Chase - 1 miles North of Belle Chase Tunnel,13.0,4.0,,
LA,LA 385,Lake Charles - under I-10 Calcasieu River Bridge,12.0,6.0,,
LA,LA 48 SB,Norco - 2 miles North of LA 627,13.0,2.0,,
LA,LA 538,Mooringsport - 4.75 miles Southeast,13.0,1.0,,
LA,LA 729,"Lafayette - West of US 90, near Lafayette Regional Airport",12.0,7.0,,
LA,LA 8,Sabine River Bridge,12.0,1.0,,
LA,LS 546,Cheniere - 0.5 miles South of I-20,12.0,6.0,,
LA,US 171 NB,Leesville,13.0,0.0,,
LA,US 71,Alexandria - Allen Bridge,13.0,6.0,,
LA,US 90,New Orleans - 0.2 miles South of I-610,13.0,4.0,,
CT,CT 136,Westport-0.1 miles South of I-95,10.0,8.0,,
CT,CT 137,Stamford - CT 15 Overpass,12.0,3.0,,
CT,CT 138,Lisbon - Southwest 1 mile West of CT 12,12.0,2.0,,
CT,CT 146,"Branford- West Between CT 142 and Branford Connector to I-95, Exit 53",9.0,6.0,,
CT,CT 146,"Branford- West Between CT 142 and Branford Connector to I-95, Exit 53",9.0,9.0,,
CT,CT 146,Guilford - 1.25 miles Southwest,11.0,3.0,,
CT,CT 146,Leetes Island,13.0,6.0,,
CT,CT 159,Windsor - 0.1 miles Northeast of CT 305,12.0,9.0,,
CT,CT 190,Stafford Springs - 1.4 miles Northwest,13.0,6.0,,
CT,CT 243,New Haven - CT 15 Overpass,12.0,8.0,,
CT,CT 275,Eagleville - 0.2 miles West of CT 33,12.0,0.0,,
CT,CT 322,Milldale - CT 10 Overpass,12.0,7.0,,
CT,CT 372,Berlin 1.5 miles West of US 5,11.0,2.0,,
CT,CT 53,Bethel - 1.3 miles South of CT 302,11.0,1.0,,
CT,CT 53,Norwalk - CT 15 Overpass,12.0,0.0,,
CT,CT 533,Vernon,12.0,7.0,,
CT,CT 58,Fairfield -CT 15 Overpass,11.0,8.0,,
CT,CT 598,Hartford - Main Street Overpass,12.0,1.0,,
CT,CT 598,Hartford - Columbus Blvd Overpass,13.0,6.0,,
CT,CT 649,Groton - 1.2 miles East of CT 348,10.0,6.0,,
CT,CT 67,Seymour,12.0,6.0,,
CT,CT 71,Wallingford - CT 15 overpass,10.0,0.0,,
CT,CT 719,Norwalk - CT 15 Overpass,13.0,4.0,,
CT,CT 72,Pequabuck - 1 mile Southeast of US 6,13.0,3.0,,
CT,"CT 796 (Milford 
Pkwy)",Milford - 0.2 miles North of I-95,13.0,6.0,,
CT,CT 8,Derby - 1 mile North of CT 34,13.0,6.0,,
CT,CT 81,Clinton - 0.1 miles North of US 1,11.0,10.0,,
CT,CT 847,Waterbury,12.0,8.0,,
CT,CT 847,Waterbury,12.0,10.0,,
CT,I-95,Darien - 1.1 mile Northeast of Exit 9,13.0,6.0,,
CT,I-95,Milford -0.2 miles West of Exit 38,13.0,6.0,,
CT,Lake Ave,"Danbury - A Railroad Bridge off I-84 West bound on Lake Ave. (Reported by an 
individual, not listed on other maps)",10.0,0.0,,
CT,US 1,Darien - .1 mile Southwest of CT 124,11.0,1.0,,
CT,US 1,Madison- 2.1 miles West of CT 79,12.0,7.0,,
ME,ME 197,"Richmond - at Kennebec River, Mile Marker 16.5",11.0,2.0,15.0,4.0
ME,ME 24,Richmond -Mile Marker 34.9,11.0,2.0,12.0,6.0
ME,ME 9,Saco - Mile Marker 39.9,12.0,1.0,12.0,6.0
KY,"Alt. US 60       
(3rd Street)",Louisville - at Eastern Parkway,11.0,8.0,,
