longitude,latitude,campsite_name,phone_number,street_address,city,state_province,postal_code,country
-114.53854,32.670556,Blue Sky Ranch RV Resort (GNP),(928) 726-0160,5510 E 32nd St,Yuma,AZ,85365,USA
-114.456755,32.670047,Blue Sky RV Resort (GNP),(928) 342-1444,10247 S Frontage Rd,Yuma,AZ,85365,USA
-114.4492671,32.6712828,Caravan Oasis Resort (GNP),(928) 342-1480,10500 N Frontage Rd,Yuma,AZ,85365,USA
-114.403,32.6691,Sundance RV Resort (CAL-AM),(928) 342-9333,13502 N Frontage Rd,Yuma,AZ,85367,USA
-114.4848,32.7407,Yuma Lakes (Colorado River Resorts),(760) 663-4941,6275 S 8 1/2 E,Yuma,AZ,85365,USA
-116.906265,49.775234,Woodbury Resort and Marina,(877) 353-7717,4112 Hwy 31,Ainsworth,BC,V0G 1A0,CAN
-123.714906,48.895986,Country Maples RV Resort (GNP),(250) 246-2078,9010 Trans-Canada Hwy,Chemainus,BC,V0R 1K4,CAN
-121.231375,49.273399,Sunshine Valley RV Resort (Holiday Trails Resort/GNP),(604) 869-0040,14850 Alpine Blvd,Hope,BC,V0X 1L5,CAN
-119.3959,50.0078,Holiday Park Resort,(250) 766-4255,1-415 Commonwealth Rd,Kelowna,BC,V4V 1P4,CAN
-121.742433,49.188068,Camperland RV Resort (Holoiday Trails Resort/GNP),(604) 794-3756,53730 Bridal Falls Rd,Rosedale,BC,V0X 1X1,CAN
-116.913175,33.484731,Sundance Meadows,(951) 767-0716,43425 Sage Rd,Aguanga,CA,92536,USA
-119.554726,37.323562,Bass Lake Recreational Resort,(559) 642-3145,39744 Rd 274,Bass Lake,CA,93604,USA
-117.0198,33.961233,Cherry Valley Lakes Resort (Colorado River Adventures),(760) 663-4941,36805 Brookside Ave,Beaumont,CA,92223,USA
-122.196967,39.926955,Heritage RV (GNP),(530) 824-6130,975 Hwy 99 W,Corning,CA,97021,USA
-116.4368,33.9258,Caliente Springs (GNP),(760) 329-8400,70200 Dillon Rd,Desert Hot Springs,CA,92241,USA
-116.440012,33.913205,Catalina Spa and RV Resort,(760) 329-4431,18-800 Corkill Rd,Desert Hot Springs,CA,92241,USA
-116.361368,33.902233,Sky Valley Resort (GNP),(760) 329-2900,74711 Dillon Rd,Desert Hot Springs,CA,92241,USA
-114.223701,34.208051,Emerald Cove (Colorado River Adventures),(760) 663-4941,2715 Parker Dam Rd,Earp,CA,92242,USA
-120.832535,39.18759,Dutch Flat RV Resort (GNP),(503) 389-8924,55 Canyon Creek Rd,Gold Run,CA,95717,USA
-121.587531,38.113713,Delta Shores Resort and Marina,(916) 777-5577,601 Brannan Island Rd,Isleton,CA,95641,USA
-121.571217,38.104855,Lighthouse Resort and Marina,(916) 777-5511,151 Brannan Island Rd,Isleton,CA,95641,USA
-116.559589,33.033436,KQ Ranch Resort (Colorado River Adventures),(760) 663-4941,449 KQ Ranch Rd,Julian,CA,92036,USA
-124.051609,41.529755,Kamp Klamath RV Park (GNP),(707) 482-0227,1661 W Klamath Beach Rd,Klamath,CA,95548,USA
-118.413745,35.642659,Lake Isabella RV Resort (GNP),(760) 379-1873,11936 Hwy 178,Lake Isabella,CA,93240,USA
-119.032788,36.369616,Lemon Cove Village RV Park (GNP),(559) 370-4152,32075 Sierra Dr,Lemon Cove,CA,93244,USA
-123.87744,40.26247,Giant Redwood RV (GNP),(707) 943-9999,400 Myers Ave,Myers Flat,CA,95554,USA
-122.8565053,39.1209086,The Aurora RV Park/Marina (GNP),(707) 274-5531,2985 Lakeshore Blvd,Nice,CA,95464,USA
-116.544801,33.945391,Two Springs RV Resort (GNP),(760) 251-6162,14200 N Indian Canyon Dr,North Palm Springs,CA,92258,USA
-114.16836,34.26107,Big Bend Resort (GNP),(760) 663-4941,501 Parker Dam Rd,Parker Dam,CA,92267,USA
-114.16702,34.25107,Echo Lodge Resort (GNP),(760) 663-4941,451 Parker Dam Rd,Parker Dam,CA,92267,USA
-114.21326,34.21546,Rio Del Colorado (GNP),(760)663-3006,2054 Parker Dam Rd,Parker Dam,CA,92267,USA
-114.19534,34.22864,Windmill Resort (GNP),(760) 663-4941,1451 Parker Dam Rd,Parker Dam,CA,92267,USA
-120.615798,38.766776,Ghost Mountain Ranch (Colorado River Adventures),(530) 644-5476,5560 Badger Hill Rd,Pollock Pines,CA,95726,USA
-117.099107,33.975016,Fisherman's Retreat (Halo Resorts),(909) 795-0171,32300 San Timoteo Canyon Rd,Redlands,CA,92373,USA
-114.763628,32.74747,Pilot Knob RV Resort,(928) 257-4892,3707 Hwy 80,Winterhaven,CA,92283,USA
-122.094414,38.514247,Canyon Creek Resort,(530) 795-4133,22074 Hwy 128,Winters,CA,95694,USA
-122.6381,41.70952,Waiiaka RV Park (GNP),(530) 842-4500,240 Sharps Rd,Yreka,CA,96097,USA
-116.954415,34.052548,Oak Glen Retreat (Halo Resorts),(909) 790-1801,38955 Oak Glen Rd,Yucaipa,CA,92399,USA
-107.120582,38.480979,Blue Mesa Recreational Ranch,(970) 642-4150,27601 W Hwy 50,Gunnison,CO,81230,USA
-104.865271,39.116189,Colorado Heights Camping Resort,(719) 481-2336,19575 Monument Hill Rd,Monument,CO,80132,USA
-71.795465,41.848795,State Line Camping Resort,(860) 774-3016,1639 Hartford Pike,East Killingly,CT,6243,USA
-75.163521,38.632066,Leisure Point Resort,(302) 945-0308,25491 Dogwood Ln,Millsboro,DE,19966,USA
-81.805318,26.384743,Gulf Coast Camping Resort (GNP),(239) 992-3808,24020 Production Cir,Bonita Springs,FL,34135,USA
-81.796487,28.641008,Bee's RV Resort,(352) 429-2116,20260 Hwy 27,Clermont,FL,34715,USA
-80.38,27.4854,Road Runner Travel Resort (GNP),(800) 833-7108,5500 St Lucie Blvd,Fort Pierce,FL,34946,USA
-85.394803,30.533239,Pine Lake RV Resort (GNP),(850) 722-1401,21036 Hwy 231,Fountain,FL,32438,USA
-81.901325,26.705692,Tamiama RV Park (GNP),(239) 997-2697,16555 N Cleveland Ave,North Fort Myers,FL,33903,USA
-81.7852,26.7116,Upriver RV Resort (GNP),(239) 543-3330,17021 Upriver Dr,North Fort Myers,FL,33917,USA
-80.753769,27.190466,Gracious RV Park (GNP),(863) 763-6200,6500 Hwy 441 SE,Okeechobee,FL,34974,USA
-80.6947,27.1458,Water's Edge Motor Coach & RV Resort (GNP),(863) 357-5757,12766 Hwy 441 SE,Okeechobee,FL,34974,USA
-82.985834,29.569757,Old Town Campground 'N' Retreat (GNP),(352) 542-9500,2241 SE Hwy 349,Old Town,FL,32680,USA
-81.28802,28.96829,Luna Sands Resort (GNP),(855) 432-8457,1440 E Minnesota Ave,Orange City,FL,32763,USA
-82.005631,26.879362,Alligator Park MH and RV Park (GNP),(941) 639-7000,6400 Taylor Rd,Punta Gorda,FL,33950,USA
-82.24748,28.218537,Ralph's Travel Park (GNP),(813) 782-8223,34408 SR 54 W,Zephyrhills,FL,33543,USA
-81.579716,31.144537,Golden Isles Vacation Park (GNP),(912) 261-1025,7445 Blythe Island Hwy,Brunswick,GA,31525,USA
-83.449,34.3851,Yonah Mountain Camping Resort,(706) 865-6546,3678 Helen Hwy,Cleveland,GA,30528,USA
-83.955367,34.627511,R Ranch in the Mountains,(706) 864-6444,65 R Ranch Rd,Dahlonega,GA,30533,USA
-83.267065,33.545508,North Shore Landing,(706) 453-4505,2541 Carey Station Rd,Greensboro,GA,30642,USA
-83.712201,34.721284,Unicoi Springs Camp Resort,(706) 878-2104,2444 Hwy 356,Helen,GA,30545,USA
-83.739116,32.240212,Southern Trails RV Resort,(478) 627-3255,2690 Arena Rd,Unadilla,GA,31091,USA
-81.676644,30.840366,Walkabout RV Resort (GNP),(912) 729-4110,742 Old Still Rd,Woodbine,GA,31569,USA
-93.764199,41.65804,Cutty's Des Moines Camping Club,(515) 986-3929,2500 SE 37th St,Grimes,IA,50111,USA
-91.923273,42.647881,Lake Shore Resort,(319) 283-5234,1418 Q Ave,Oelwein,IA,50662,USA
-95.182441,43.425214,Cutty's Okoboji Resort Club,(712) 336-2226,1528 Hwy 86,Spirit Lake,IA,51360,USA
-115.3076434,42.9566253,Trail Break RV Park & Campground (GNP),(208) 366-7745,432 N Bannock St,Glenns Ferry,ID,83623,USA
-116.145403,45.921383,Bear Den RV Park (GNP),(208) 983-0140,16967 Hwy 95 S,Grangeville,ID,83530,USA
-114.71495,42.77079,Intermountain Motor Homes and RV Camp (GNP),(208) 536-2301,1894 N Frontage Rd,Wendell,ID,83355,USA
-90.461824,40.570542,TimberLakes Campground (GNP),(309) 772-3609,23200 N 2000 Rd,Bushnell,IL,61422,USA
-89.491163,40.624684,Mill Point Park (GNP),(309) 231-6497,310 Ash Ln,East Peoria,IL,61611,USA
-90.216346,41.549421,Sunset Lakes RV Resort,(309) 658-2131,2700 290th St N,Hillsdale,IL,61257,USA
-89.28074,41.658455,Woodhaven Lakes,(815) 849-5915,509 Lamoille Rd,Sublette,IL,61367,USA
-85.37969,40.493896,Wildwood Outdoor Escape (GNP),(765) 348-2100,520 W 300 N,Hartford City,IN,47348,USA
-85.408052,41.708613,Grand View Bend (GNP),(574) 575-5927,4630 N 100 E,Howe,IN,46746,USA
-85.61791,38.988778,Muscatatuck Park (GNP),(812) 346-2953,325 N SR 3/7,North Vernon,IN,47265,USA
-84.85122,39.86586,Deer Ridge Camping Resort (GNP),(765) 939-0888,3696 Smyrna Rd,Richmond,IN,47374,USA
-96.240768,38.411733,Emporia RV Park (GNP),(620) 343-3422,4601 W Hwy 50,Emporia,KS,66801,USA
-97.554629,38.027146,Spring Lake RV Resort,(316) 835-3443,1308 S Spring Lake Rd,Halstead,KS,67056,USA
-94.697334,38.373587,Linn Valley Lakes,(913) 757-4591,5174 Linn Valley Ave,Linn Valley,KS,66040,USA
-88.5867,37.0214,Duck Creek RV Park (GNP),(270) 415-0404,2540 Jihn L Puryear Dr,Paducah,KY,42003,USA
-90.004432,30.496086,Abita Springs RV Resort (Ocean Canyon Properties),(985) 590-3926,24150 Hwy 435,Abita Springs,LA,70420,USA
-90.991503,29.683561,Hideaway Ponds Recreational Resort,(985) 575-9928,6367 Bayou Black Dr,Gibson,LA,70356,USA
-90.345703,30.521654,Passport to Leisure,(985) 542-1507,46049 Hwy 445 N,Robert,LA,70455,USA
-96.036943,50.279022,Champagne's RV Park (GNP),(204) 345-2414,20 Champagne Rd,Lac Du Bonnet,MB,R0E 1A0,CAN
-83.556942,45.114893,Campers Cove (GNP),(989) 356-3708,5005 Long Rapids Rd,Alpena,MI,49707,USA
-83.555946,43.073287,Lake Shore Resort (Outdoor Adventures),(810) 653-1040,4392 N Irish Rd,Davison,MI,48423,USA
-86.178006,42.968349,Grand Haven Resort (Outdoor Adventures),(616) 844-7490,10990 Hwy 31,Grand Haven,MI,49417,USA
-84.824999,42.08698,Lighthouse Village,(517) 568-4343,1001 24 Mile Rd,Homer,MI,49245,USA
-85.718173,42.390266,Kalamazoo Resort (Outdoor Adventure),(269) 337-0959,8368 W C Ave,Kalamazoo,MI,49009,USA
-84.6679,43.646,Mt Pleasant Resort (Outdoor Adventures),(989) 772-5878,840 N Loomis Rd,Mt Pleasant,MI,48858,USA
-83.947934,44.052354,Wilderness Resort (Outdoor Adventures),(989) 653-2224,1050 Husak Rd,Omer,MI,48749,USA
-84.72785,45.88198,Tiki RV Park (GNP),(906) 643-7808,200 S Airport Rd,St Ignace,MI,49781,USA
-83.927608,43.947645,Saginaw Bay Resort (Outdoor Adventures),(989) 846-0128,4738 Foco Rd,Standish,MI,48658,USA
-84.0193,44.073602,Rifle River Resort (Outdor Adventures),(989) 654-3195,334 N Melita Rd,Sterling,MI,48659,USA
-84.279008,42.435529,Heartland Woods RV Resort,(517) 565-3500,5120 Freiermuth Rd,Stockbridge,MI,49285,USA
-84.249888,44.204244,Lake of the North Resort (Outdoor Adventures),(989) 345-2700,3070 Elm Dr,West Branch,MI,48661,USA
-95.923561,46.838602,Forest Hills Golf & RV Resort,(800) 482-3441,22931 185th St,Detroit Lakes,MN,56501,USA
-92.641436,46.011522,Pathfinder Village (St. Croix),(320) 384-7985,49200 Hwy 48,Hinckley,MN,55037,USA
-92.466982,46.056021,St Croix River Resort (Midwest Outdoor Resorts),(605) 399-7899,40756 Grace Lake Rd,Hinckley,MN,55037,USA
-95.489237,46.580056,Golden Eagle Vacationland,(218) 346-4386,42488 480th Ave,Perham,MN,56573,USA
-91.707997,43.603515,Hidden Bluffs Resort (Midwest Outdoor Resorts),(507) 498-5880,22885 CR 19,Spring Grove,MN,55974,USA
-91.164123,39.372786,Cozy C RV Campground (GNP),(573) 324-3055,16733 Hwy 54,Bowling Green,MO,63334,USA
-93.340735,36.680391,Blue Mountain Campground (GNP),(417) 338-2114,8766 Hwy 76,Branson West,MO,65737,USA
-93.330036,36.666836,Bransom Ridge Resort (Ocean Canyon Properties),(417) 213-5801,5040 Hwy 265,Branson,MO,65616,USA
-93.2879,36.65552,Treasure Lake RV Resort,(417) 334-1040,1 Treasure Lake Dr,Branson,MO,65616,USA
-92.133899,36.624831,Cloud 9 Ranch,(417) 284-7321,2810 Cloud 9 Dr,Caulfield,MO,65626,USA
-90.98605,39.329878,Tievoli Hills Resort (FamilResorts and Travel),(573) 242-3577,25793 Hwy N,Clarksville,MO,63336,USA
-91.560221,38.896262,Lazy Day Campground (GNP),(573) 564-2949,214 Hwy J,Danville,MO,63361,USA
-91.397774,38.475775,Lost Valley Lake Resort,(573) 764-2129,2334 Hwy ZZ,Owensville,MO,65066,USA
-91.776156,38.789162,Wildwood,(573) 676-5317,7233 Wildwood Estates Dr,Steedman,MO,65077,USA
-89.223414,30.376523,TLC Wolf River Resort,(228) 452-9100,23098 Freddie Frank Rd,Pass Christian,MS,39571,USA
-112.724953,46.408741,Indian Creek Campground (GNP),(406) 846-3848,745 Maverick Ln,Deer Lodge,MT,59722,USA
-110.911826,46.54267,Conestoga Campground,(406) 547-3890,815 8th Ave SW,White Sulphur Springs,MT,59645,USA
-65.048048,47.763972,Camping Colibri (GNP),(506) 727-2222,913 Boul de Acadiens,Caraquet,NB,E1W 1H5,CAN
-65.593961,46.960865,Enclosure Campground Resort (GNP),(844) 609-9660,8 Enclosure Rd,Derb Junction,NB,E1V 5B2,CAN
-64.595325,45.818611,Ponderosa Pines Campground (GNP),(800) 822-8800,4325 Rte 114,Hopewell Cape,NB,E4H 3P1,CAN
-64.503752,46.23354,Ocean Surf RV Park (GNP),(506) 532-5480,73 Belliveau Beach Rd,Pointe du Chene,NB,E4P 3W2,CAN
-65.543093,45.349339,Century Family Farm Campground (GNP),(506) 833-2357,67 Ocean View Dr,St Martins,NB,E5R 2E8,CAN
-67.605009,46.126412,Yogi Bear's Jellystone Park New Brunswick (GNP),(506) 328-6287,174 Hemlock St,Woodstock,NB,E7M 4E5,CAN
-79.850227,35.603139,Zooland Family Campground (GNP),(336) 381-3422,3671 Pisgah Covered Bridge Rd,Asheboro,NC,27205,USA
-79.622491,35.140647,Sycamore Lodge (Travel Resorts of America),(910) 652-5559,1059 Sycamore Ln,Jackson Springs,NC,27281,USA
-79.463305,34.899968,Oasis of North Carolina (GNP),(910) 266-8372,15340 Palmer Rd,Marston,NC,28363,USA
-78.711399,34.058597,Carroll Woods Campground at Grapefull Sisters Vineyard (GNP),(910) 653-5538,95 Dots Dr,Tabor City,NC,28463,USA
-79.420093,34.978826,Pine Lake RV Resort (GNP),(910) 281-3319,32482 Hillcreek Rd,Wagram,NC,28396,USA
-75.466635,35.578061,Camp Hatteras,(252) 987-2777,24798 Hwy 12,Waves,NC,27968,USA
-83.011423,35.583717,Pride Resort,(828) 926-1645,4394 Jonathan Creek Rd,Waynesville,NC,28785,USA
-101.37104,48.24172,Roughrider RV Resort (GNP),(701) 852-8442,500 54th St NW,Minot,ND,58703,USA
-103.118591,41.70815,Meadow Park Motel & RV (GNP),(308) 279-1176,9868 Hwy 385,Bridgeport,NE,69336,USA
-99.379184,40.698295,Sunny Meadows Campground (GNP),(308) 233-4297,2005 Hwy 183,Elm Creek,NE,68836,USA
-101.714241,41.105374,Area's Finest County View (GNP),(308) 284-2415,120 Rd East 80,Ogallala,NE,69153,USA
-101.706092,41.112756,Sleepy Sunflower RV Park (GNP),(308) 284-1300,221 Rd E 85,Ogallala,NE,69153,USA
-100.542171,42.868534,Wacky West Travel Park (GNP),(402) 376-1771,702 E C St,Valentine,NE,69201,USA
-71.622728,43.687911,Ames Brook Campground (GNP),(603) 968-7998,104 Winona Rd,Ashland,NH,3217,USA
-71.593603,44.49613,Riverside Camping & RV Resort (GNP),(603) 631-7433,94 Bridge St,Lancaster,NH,3584,USA
-71.722303,42.973871,Friendly Beaver Campground (GNP),(603) 487-5570,88 Cochran Hill Rd,New Boston,NH,3070,USA
-58.802135,48.250291,Pirate's Haven RV Park (GNP),(709) 649-0601,229 Main Rd,Robinsons,NL,A0N 1V0,CAN
-107.761481,32.429951,Hidden Valley Ranch RV Resort (GNP),(575) 546-3071,12100 Hidden Valley Rd NW,Deming,NM,88030,USA
-106.33945,35.104105,Hidden Valley Resort,(505) 281-3363,8448 Hwy 333,Tijeras,NM,87059,USA
-65.508755,44.759169,Dunromin Campground (GNP),(902) 532-2808,4618 Hwy 1,Annapolis Royal,NS,B0S 1K0,CAN
-60.858907,46.088675,Adventures East Campground,(902) 295-2417,9585 Hwy 105,Baddeck,NS,B0E 1B0,CAN
-61.048258,46.608365,Plage St Pierre Beach Campground (GNP),(902) 224-2112,635 Cheti Camp Island Rd,Cheticamp,NS,B0E 1Ho,CAN
-64.340981,44.488979,Rayport Campground (GNP),(902) 627-2678,165 Shingle Mill Rd,Martin's River,NS,B0J 2E0,CAN
-66.048763,43.77905,Castle Lake Campground (GNP),(902) 749-1739,83 Comeaus Hill Rd,Melbourne,NS,B0W 1B0,CAN
-63.288481,45.286523,Scotia Pines Campground (GNP),(877) 893-3666,1911 Hwy 2,Truro,NS,B0N 1C0,CAN
-115.981566,36.210989,Preferred RV Resort,(775) 727-6429,1801 Crawford Way,Pahrump,NV,89048,USA
-119.275532,38.837564,Walker River Resort,(775) 465-2573,700 Hudson Way,Smith,NV,89430,USA
-75.9682304,44.2987306,Swan Bay Resort (GNP),(315) 482-7926,43615 SR 12,Alexandria Bay,NY,13607,USA
-78.283969,42.646858,Faun Lake,(585) 457-3301,5124 Pleasant Valley Rd,Bliss,NY,14024,USA
-73.738213,43.550429,Schroon River Escape Kodges & RV,(518) 623-3954,969 E Schroon River Rd,Diamond Point,NY,12824,USA
-78.696031,42.349367,Allegany Mountain Resort,(716) 376-4144,6994 Plato Road,East Otto,NY,14729,USA
-73.818104,43.146293,Saratoga Escape Lodge & RV,(518) 893-0537,265 Brigham Rd,Greenfield,NY,12833,USA
-78.509117,42.613684,Three Valley Resort,(716) 537-2372,9766 Olean Rd,Holland,NY,14080,USA
-78.385082,42.662509,Beaver Meadow Family Campground (GNP),(585) 457-3101,1455 Beaver Meadow Rd,Java Center,NY,14082,USA
-78.853284,43.205788,Niagara's Lazy Lakes Resort,(800) 874-2957,4312 Church Rd,Lockport,NY,14094,USA
-76.045503,43.404508,Bass Lake Resort (Travel Resorts of America),(315) 728-9437,132 Crim Rd,Parish,NY,13131,USA
-73.4012,43.5608,Champs RV Resort,(518) 499-5055,1 Main St,Whitehall,NY,12887,USA
-80.542987,41.635691,Holiday Camplands,(440) 293-7116,4273 Pymatuning Lake Rd,Andover,OH,44003,USA
-81.0982,41.0993,Leisure Lake,(330) 953-9314,5393 SR 225,Diamond,OH,44412,USA
-80.780419,41.640725,Millbrook Outdoor Resort,(440) 294-3991,4051 SR 45 S,Jefferson,OH,44047,USA
-81.485862,40.189536,Rocky Fork Ranch [Travel Resorts of America],(800) 370-1645,74978 Broadhead Rd,Kimbolton,OH,43749,USA
-82.190179,40.591996,Wally World Resort (Travel Resorts of Ohio),(419) 994-4828,16121 CR 23,Loudonville,OH,44842,USA
-81.961564,39.045401,Kountry Resort Campground,(740) 992-6488,44705 Resort Rd,Racine,OH,45771,USA
-83.376374,38.666416,Sandy Springs Campground (GNP),(701) 640-7858,27719 Hwy 52,Stout,OH,45684,USA
-84.162593,40.559414,Arrowhead Lakes,(419) 738-5000,14296 Cemetery Rd,Wapakoneta,OH,45895,USA
-94.987783,36.552357,Pelican Landing,(918) 782-3295,32100 Hwy 85,Afton,OK,74331,USA
-95.527979,35.353084,Terra Starr Park,(918) 689-7094,420589 E 1147 Rd,Checotah,OK,74426,USA
-94.814284,36.620042,Eagle's Landing,(918) 786-6196,25301 Hwy 59 N,Grove,OK,74344,USA
-94.8617,36.5447,Pine Island RV Resort,(918) 786-9071,32501 South 571 Rd,Jay,OK,74346,USA
-96.58461,34.056291,Texoma Shores Resort [Ocean Canyon Properties],(580) 795-3828,16022 Cumberland Cove Rd,Madill,OK,73446,USA
-97.142953,33.785091,Red River Ranch RV,(580) 276-4411,19691 Hwy 77,Thackerville,OK,73459,USA
-79.807696,44.167426,Nicolston Dam RV Park (GNP),(705) 435-7946,5140 5th Line Essa,Alliston,ON,L9R 1V2,CAN
-74.399011,45.21685,Maplewood Acres RV Park (GNP),(613) 347-2130,21848 Concession Rd 3,Bainsville,ON,K0C 1E0,CAN
-79.361213,45.025275,Santa's Whispering Pines Campground (GNP),(705) 645-5682,1623 Golden Beach Rd,Bracebridge,ON,P1L 1W8,CAN
-77.624197,44.03451,North Shore RV Park (GNP),(613) 475-2036,1675 CR 64,Carrying Place,ON,K0K 1L0,CAN
-77.625124,45.382297,Pine Cliff Resort (GNP),(888) 756-3014,21 Allingham Ln,Combermere,ON,K0J 1L0,CAN
-92.81959,49.78711,Northwestern Tent and RV Park (GNP),(807) 223-4945,559 Government St,Dryden,ON,P8N 2Y8,CAN
-80.0767648,43.3860442,Flamboro Valley Camping Resort (GNP),(905) 659-5053,1158 Hwy 97,Flamborough,ON,N0B 2J0,CAN
-87.184434,49.711129,Wild Goose Lake Campground (GNP),(866) 465-4404,8 Kueng's Rd,Geraldton,ON,P0T 1M0,CAN
-80.9159905,44.2069363,Saugeen Springs RV Park (GNP),(519) 369-5136,173844 Mulock Rd,Hanover,ON,N4N 3B9,CAN
-91.6524925,49.4100223,Davy Lake Campground (GNP),(877) 374-3113,400 Davy Lake Rd,Ignace,ON,P0T 1T0,CAN
-78.273361,44.428897,Lakefield Campground (GNP),(705) 652-8610,59 Hague Blvd,Lakefield,ON,K0L 2H0,CAN
-75.793753,44.524962,Happy Green Acres Campground (GNP),(343) 264-2468,2 Green Acres Rd,Mallorytown,ON,K0E 1R0,CAN
-81.871788,45.756846,Manitoulin Resort (GNP),(705) 859-3550,152 Holiday Haven Rd,Manitowaning,ON,P0P 1N0,CAN
-78.7161072,46.3116978,Sid Turcotte Park (GNP),(705) 744-5375,750 Mattawan St,Mattawa,ON,P0H 1V0,CAN
-81.403652,45.09785,Summer House Park (GNP),(519) 795-7712,197 Miller Lake Shore Rd,Miller Lake,ON,H0H 1Z0,CAN
-80.137636,44.087757,Primrose Park (GNP),(519) 925-2848,635687 Hwy 10,Mono,ON,L9V 0Z8,CAN
-75.1042375,44.9476378,Upper Canada Campground (GNP),(613) 543-2201,13390 Upper Canada Rd,Morrisburg,ON,K0C 1X0,CAN
-79.1461669,43.0895177,Scott's Family RV Park (GNP),(800) 649-9497,8845 Lundy's Ln,Niagara Falls,ON,L2H 1H5,CAN
