,longitude,latitude,store_type,store_id,gas,address,city,state,zip_code,parking  ,phone_number
20,-86.958676,34.787751,Walmart Supercenter,#0661,Gas,1011 Hwy 72 E; I-65 Exit 351,Athens,AL,35611,Parking Available,(256) 230-2981
21,-86.956765,34.788609,Murphy USA,#5625,Gas,800 Hwy 31,Athens,AL,35611,Parking Available,(256) 216-9073
22,-87.493024,31.035551,Walmart Supercenter,#7247,No Gas,911 N Main St,Atmore,AL,36502,Parking Available,(251) 368-1403
23,-86.093527,33.994538,Walmart Supercenter,#0316,Gas,973 Gilbert Ferry Rd SE; I-59 Exit 181,Attalla,AL,35954,Parking Available,(256) 538-3811
24,-85.4993057,32.5712166,Murphy USA,#6562,Gas,1717 S College St; I-85 Exit 51,Auburn,AL,36832,Parking Available,(334) 502-7196
25,-85.497471,32.571045,Walmart Supercenter,#0356,Gas,1717 S College St; I-85 Exit 51,Auburn,AL,36830,Parking Available,(334) 821-2493
26,-85.507812,32.601971,Walmart Neighborhood Market,#4673,Gas,1810 Shug Jordan Pkwy,Auburn,AL,36832,Parking Available,(334) 539-6318
27,-85.449951,32.624538,Walmart Neighborhood Market,#5062,Gas,2047 E University Dr,Auburn,AL,36830,Parking Available,(334) 539-6214
28,-85.430014,32.608515,Sam's Club,#4989,Gas/Diesel,2335 Bent Creek Rd; I-85 Exit 57,Auburn,AL,36830,Parking Available,(334) 821-0121
29,-87.7880976,30.8845009,Murphy USA,#6735,Gas/Diesel,1000 W 7th,Bay Minette,AL,36507,Parking Available,(251) 580-5189
30,-87.789589,30.885155,Walmart Supercenter,#2739,Gas/Diesel,701 McMeans Ave,Bay Minette,AL,36507,Parking Available,(251) 937-5558
31,-87.000752,33.361937,Walmart Supercenter,#0764,Gas/Diesel,750 Academy Dr; I-20/59 Exit 108,Bessemer,AL,35022,Parking Available,(205) 424-5890
32,-86.999478,33.361967,Murphy USA,#7542,Gas/Diesel,756 Academy Dr; I-20/59 Exit 108,Bessemer,AL,35022,Parking Available,(205) 428-2447
33,-86.7015166,33.5865737,Murphy USA,#7022,Gas/Diesel,121 Roebuck Plaza Dr,Birmingham,AL,35206,Parking Available,(205) 838-2277
34,-86.720333,33.528144,Walmart Supercenter,#1711,No Gas,1600 Montclair Rd; I-20 Exit 132,Birmingham,AL,35210,No Parking,(205) 956-0416
35,-86.684336,33.637771,Walmart Neighborhood Market,#5100,No Gas,1916 Center Point Rd,Birmingham,AL,35215,No Parking,(205) 520-0269
36,-86.924324,33.580015,Walmart Supercenter,#1158,No Gas,2473 Hackworth Rd,Birmingham,AL,35214,Parking Available,(205) 798-9721
37,-86.739678,33.383703,Walmart Neighborhood Market,#3424,No Gas,2653 Valleydale Rd,Birmingham,AL,35244,No Parking,(205) 582-6183
38,-86.820963,33.467775,Walmart Neighborhood Market,#4504,No Gas,312 Palisades Blvd; I-65 Exit 256,Birmingham,AL,35209,No Parking,(205) 870-8101
39,-86.675768,33.421066,Walmart Supercenter,#2111,No Gas,5335 Hwy 280 S,Birmingham,AL,35242,Parking Available,(205) 980-5156
40,-86.629063,33.639944,Walmart Supercenter,#2713,No Gas,5919 Trussville Crossings Pkwy; I-59 Exit 141,Birmingham,AL,35235,Parking Available,(205) 661-1973
41,-86.625486,33.64461,Sam's Club,#4817,Gas,5940 Trussville Crossing Blvd; I-59 Exit 141,Birmingham,AL,35235,Parking Available,(205) 655-0505
42,-86.702787,33.588879,Walmart Supercenter,#0762,No Gas,9248 Pkwy E; I-59 Exit 134,Birmingham,AL,35215,No Parking,(205) 833-7676
43,-86.154183,34.214719,Walmart Supercenter,#0298,Gas/Diesel,1972 Hwy 431,Boaz,AL,35957,Parking Available,(256) 593-0195
44,-86.156547,34.215927,Murphy USA,#6884,Gas/Diesel,2040 Hwy 431,Boaz,AL,35957,Parking Available,(256) 593-0975
45,-87.171218,32.963891,Walmart Supercenter,#0425,No Gas,10675 Hwy 5,Brent,AL,35034,Parking Available,(205) 926-4878
46,-87.071111,31.139671,Walmart Supercenter,#1620,No Gas,2578 Douglas Ave,Brewton,AL,36426,Parking Available,(251) 867-4680
47,-86.7498748,33.146051,Murphy USA,#6694,Gas/Diesel,169 Super Center Dr; I-65 Exit 231,Calera,AL,35040,Parking Available,(205) 668-2778
48,-86.749933,33.146733,Walmart Supercenter,#3271,Gas/Diesel,5100 Hwy 31; I-65 Exit 231,Calera,AL,35040,Parking Available,(205) 668-0831
49,-85.713114,34.162109,Walmart Supercenter,#5126,Gas/Diesel,1950 W Main St,Centre,AL,35960,Parking Available,(256) 927-9900
50,-85.7141867,34.161121,Murphy USA,#6924,Gas/Diesel,1960 W Main St,Centre,AL,35960,Parking Available,(256) 927-5670
51,-86.61854,33.349443,Murphy USA,#7545,Gas/Diesel,16073 Hwy 280,Chelsea,AL,35043,Parking Available,(205) 678-0590
52,-86.619256,33.348741,Walmart Supercenter,#4330,Gas/Diesel,16077 Hwy 280,Chelsea,AL,35043,Parking Available,(205) 678-2222
53,-86.6091614,32.819024,Murphy USA,#5686,Gas,1411 7th St S,Clanton,AL,35045,Parking Available,(205) 280-4542
54,-86.608656,32.81751,Walmart Supercenter,#0424,Gas,1415 7th St S,Clanton,AL,35045,Parking Available,(205) 755-7574
55,-86.867642,34.206543,Walmart Supercenter,#7280,No Gas,5601 Hwy 157,Cullman,AL,35058,Parking Available,(256) 615-6667
56,-86.8416667,34.1515669,Murphy USA,#6770,Gas/Diesel,624 Olive St SW,Cullman,AL,35055,Parking Available,(256) 739-7143
57,-86.84217,34.150102,Walmart Supercenter,#0670,Gas/Diesel,626 Olive St SW,Cullman,AL,35055,Parking Available,(256) 734-8904
58,-87.905836,30.625109,Walmart Supercenter,#0934,Gas/Diesel,27520 Hwy 98,Daphne,AL,36526,No Parking,(251) 626-0923
59,-87.9055252,30.6250114,Murphy USA,#6619,Gas/Diesel,27521 Walmart Dr,Daphne,AL,36526,Parking Available,(251) 625-0940
60,-87.855036,30.659206,Sam's Club,#4990,Gas/Diesel,29683 Frederick Blvd,Daphne,AL,36526,Parking Available,(251) 626-6909
61,-86.980726,34.589341,Walmart Neighborhood Market,#2488,Gas,1203 6th Ave SE,Decatur,AL,35601,No Parking,(256) 822-6366
62,-86.99665,34.556568,Murphy USA,#6500,Gas,2800 Spring Ave SW,Decatur,AL,35603,Parking Available,(256) 301-1734
63,-86.996774,34.556577,Walmart Supercenter,#0662,Gas,2800 Spring Ave SW,Decatur,AL,35603,Parking Available,(256) 350-4624
64,-87.8490146,32.4968485,Murphy USA,#7274,Gas/Diesel,1057 Hwy 80 W,Demopolis,AL,36732,Parking Available,(334) 287-2199
65,-87.849767,32.493672,Walmart Supercenter,#0731,Gas/Diesel,969 Hwy 80 W,Demopolis,AL,36732,Parking Available,(334) 289-2385
66,-85.403192,31.178689,Walmart Supercenter,#2534,Gas/Diesel,3300 S Oates St,Dothan,AL,36301,Parking Available,(334) 702-1310
67,-85.4020668,31.177897,Murphy USA,#6740,Gas/Diesel,3370 S Oates St,Dothan,AL,36301,Parking Available,(334) 673-9393
68,-85.427009,31.244343,Sam's Club,#8192,Gas,3440 Ross Clark Crl NW,Dothan,AL,36303,Parking Available,(334) 671-5005
69,-85.450272,31.232255,Walmart Neighborhood Market,#5769,Gas,3871 W Main St,Dothan,AL,36305,Parking Available,(334) 547-6508
70,-85.440582,31.267021,Walmart Supercenter,#0604,Gas/Diesel,4310 Montgomery Hwy,Dothan,AL,36303,Parking Available,(334) 793-3099
71,-85.440189,31.265868,Murphy USA,#7691,Gas/Diesel,4454 Montgomery Hwy,Dothan,AL,36303,Parking Available,(334) 677-7030
72,-85.8486633,31.3409863,Murphy USA,#5716,Gas,600 Boll Weevil Circle,Enterprise,AL,36330,Parking Available,(334) 347-0615
73,-85.827301,31.315718,Walmart Supercenter,#0734,Gas,600 Boll Weevil Circle,Enterprise,AL,36330,Parking Available,(334) 347-5353
74,-85.169277,31.843765,Walmart Supercenter,#1638,Gas/Diesel,3176 S Eufaula Ave,Eufaula,AL,36072,Parking Available,(334) 687-2218
75,-85.1674238,31.8433604,Murphy USA,#7478,Gas/Diesel,3182 S Eufaula Ave,Eufaula,AL,36027,Parking Available,(334) 687-0190
76,-86.9149259,33.4660593,Murphy USA,#7380,Gas/Diesel,7203 Aaron Aronov Dr,Fairfield,AL,35064,Parking Available,(205) 925-0365
77,-87.851335,30.523594,Walmart Supercenter,#4333,No Gas,10040 County Rd 48,Fairhope,AL,36533,Parking Available,(251) 990-9006
78,-87.8524605,30.5214096,Murphy USA,#7506,Gas/Diesel,20390 Hwy 181,Fairhope,AL,36532,Parking Available,(251) 929-0695
79,-87.8091542,33.7337371,Murphy USA,#5746,Gas,3184 Hwy 171 N,Fayette,AL,35555,Parking Available,(205) 932-2130
80,-87.809441,33.731747,Walmart Supercenter,#1052,Gas,3186 Hwy 171 N,Fayette,AL,35555,Parking Available,(205) 932-5277
81,-87.657927,34.818559,Walmart Neighborhood Market,#4188,No Gas,1410 Florence Blvd,Florence,AL,35630,No Parking,(256) 712-6195
82,-87.686623,34.841215,Walmart Supercenter,#4187,No Gas,2701 Cloverdale Rd,Florence,AL,35633,Parking Available,(256) 712-6410
83,-87.626348,34.834258,Walmart Supercenter,#0766,No Gas,3100 Hough Rd,Florence,AL,35630,Parking Available,(256) 767-7581
84,-87.633309,34.840258,Sam's Club,#8196,Gas/Diesel,364 Cox Creek Pkwy,Florence,AL,35630,Parking Available,(256) 767-9960
85,-87.6834331,30.3830586,Murphy USA,#5720,Gas,2180 S McKenzie St,Foley,AL,36535,Parking Available,(251) 971-2411
86,-87.685801,30.382455,Walmart Supercenter,#0904,Gas,2200 S Mckenzie St,Foley,AL,36535,Parking Available,(251) 943-3400
87,-85.7594711,34.4385519,Murphy USA,#5811,Gas,1915 Glenn Blvd SW; I-59 Exit 218,Fort Payne,AL,35968,Parking Available,(256) 845-7728
88,-85.760699,34.439762,Walmart Supercenter,#0691,Gas,2001 Glenn Blvd SW; I-59 Exit 218,Fort Payne,AL,35968,Parking Available,(256) 845-3163
89,-85.98755,34.01215,Walmart Supercenter,#0301,No Gas,340 E Meighan Blvd,Gadsden,AL,35903,Parking Available,(256) 547-2637
90,-86.823856,33.647208,Walmart Supercenter,#1201,Gas/Diesel,890 Odum Rd; I-65 Exit 271,Gardendale,AL,35071,Parking Available,(205) 631-8110
91,-86.8244629,33.6484947,Murphy USA,#6891,Gas/Diesel,916 Odum Rd; I-65 exit 271,Gardendale,AL,35071,Parking Available,(205) 608-3699
92,-85.89959,31.051002,Walmart,#1063,No Gas,1608 W Magnolia Ave: I-65 Exit 130,Geneva,AL,36340,Parking Available,(334) 684-3681
93,-86.646321,31.849455,Walmart Supercenter,#1462,Gas/Diesel,501 Willow Lane: I-65 Exit 130,Greenville,AL,36037,Parking Available,(334) 382-2655
94,-86.6433556,31.851503,Murphy USA,#7087,Gas/Diesel,701 Willow Lane; I-65 Exit 130,Greenville,AL,36037,Parking Available,(334) 382-0036
95,-87.6868878,30.264755,Murphy USA,#7079,Gas/Diesel,140 E Fort Morgan Rd,Gulf Shores,AL,36542,Parking Available,(251) 540-7602
96,-87.686455,30.266434,Walmart Supercenter,#2748,Gas/Diesel,170 E Fort Morgan Rd,Gulf Shores,AL,36542,No Parking,(251) 968-5871
97,-86.27847,34.300251,Walmart Supercenter,#0681,Gas,11697 Hwy 431,Guntersville,AL,35976,Parking Available,(256) 878-0685
98,-86.2794189,34.3012543,Murphy USA,#5786,Gas,11705 Hwy 431,Guntersville,AL,35976,Parking Available,(256) 891-1099
99,-87.598816,34.239773,Walmart Supercenter,#0409,No Gas,42466 Hwy 195,Haleyville,AL,35565,Parking Available,(205) 486-9498
100,-87.990125,34.119895,Walmart Supercenter,#1100,No Gas,1706 Military St. S,Hamilton,AL,35570,Parking Available,(205) 921-3090
101,-86.948615,34.453313,Walmart Supercenter,#1124,Gas/Diesel,1201 Hwy 31 NW,Hartselle,AL,35640,Parking Available,(256) 773-1675
102,-86.9476242,34.4543839,Murphy USA,#6599,Gas/Diesel,1213 Hwy 31 NW,Hartselle,AL,35640,Parking Available,(256) 773-0420
103,-86.57179,34.943577,Walmart Supercenter,#6878,Gas,14595 N Hwy 231/432 N,Hazel Green,AL,35750,Parking Available,(256) 828-0486
104,-86.851306,33.27955,Walmart Neighborhood Market,#4189,No Gas,335 Helena Market Pl,Helena,AL,35080,No Parking,(205) 624-1640
105,-86.819967,33.448284,Sam's Club,#8247,Gas,201 Lakeshore Pkwy,Homewood,AL,35209,Parking Available,(205) 941-3326
106,-86.821477,33.447699,Walmart Supercenter,#1481,No Gas,209 Lakeshore Pkwy; I-65 Exit 255,Homewood,AL,35209,Parking Available,(205) 945-8692
107,-86.82546,33.362717,Walmart Supercenter,#1229,No Gas,2780 John Hawkins Pkwy; I-459 Exit 10,Hoover,AL,35244,No Parking,(205) 733-0303
108,-86.808073,33.373856,Sam's Club,#4724,Gas,3053 John Hawkins Pkwy; I-459 Exit 10,Hoover,AL,35244,Parking Available,(205) 982-0596
109,-86.798124,33.393198,Walmart Neighborhood Market,#3184,No Gas,3320 Lorna Rd,Hoover,AL,35216,No Parking,(205) 909-4306
110,-86.968613,33.458664,Walmart Supercenter,#4497,No Gas,1007 Red Farmer Dr,Hueytown,AL,35023,Parking Available,(205) 744-9997
111,-86.597427,34.786949,Walmart Pharmacy/Clinic,#7254,No Gas,1 Cottonwood Dr NW,Huntsville,AL,35810,Parking Available,(256) 746-1638
112,-86.5701447,34.6158867,Murphy USA,#5667,Gas,11610 Memorial Pkwy SW,Huntsville,AL,35803,Parking Available,(256) 880-5180
113,-86.569318,34.615841,Walmart Supercenter,#0434,Gas,11610 Memorial Pkwy SW,Huntsville,AL,35803,Parking Available,(256) 881-0581
114,-86.5933075,34.7632942,Murphy USA,#7029,Gas/Diesel,2150 Sparkman Dr NW,Huntsville,AL,35810,Parking Available,(256) 851-1674
115,-86.492693,34.818134,Walmart Supercenter,#7324,No Gas,2165 Winchester Rd NE,Huntsville,AL,35811,Parking Available,(256) 716-6773
116,-86.592125,34.764268,Walmart Supercenter,#0433,No Gas,2200 Sparkman Dr,Huntsville,AL,35810,No Parking,(256) 852-2236
117,-86.571387,34.642811,Sam's Club,#8107,Gas,2235 National Blvd,Huntsville,AL,35810,Parking Available,(256) 881-8186
118,-86.62637,34.711967,Walmart Neighborhood Market,#5925,Gas/Diesel,2305 Jordan Ln SW,Huntsville,AL,35805,Parking Available,(256) 755-3080
119,-86.585134,34.702931,Walmart Supercenter,#0375,No Gas,3031 Memorial Pkwy SW,Huntsville,AL,35801,No Parking,(256) 536-2870
120,-86.633926,34.749954,Walmart Neighborhood Market,#3185,No Gas,4226 Oakwood Ave NW,Huntsville,AL,35810,No Parking,(256) 361-2083
121,-86.658454,34.736543,Sam's Club,#4776,Gas,5651 Holmes AvE NW,Huntsville,AL,35816,Parking Available,(256) 837-7323
122,-86.675545,34.745947,Walmart Supercenter,#0332,No Gas,6140a University Dr,Huntsville,AL,35806,Parking Available,(256) 837-7272
123,-86.541176,34.647125,Walmart Neighborhood Market,#5716,Gas,9020 Bailey Cove Rd SE,Huntsville,AL,35802,Parking Available,(256) 970-6552
124,-87.8762598,31.5568831,Murphy USA,#5815,Gas,115 Walker Springs Rd,Jackson,AL,36545,Parking Available,(251) 246-1354
125,-87.8761,31.55913,Walmart Supercenter,#2760,Gas,4206 College Ave,Jackson,AL,36545,Parking Available,(251) 247-7101
126,-85.7641144,33.788311,Murphy USA,#7170,Gas/Diesel,1625 Pelham Rd S,Jacksonville,AL,36265,Parking Available,(256) 435-4036
127,-85.764007,33.788231,Walmart Supercenter,#0300,Gas/Diesel,1625 Pelham Rd S,Jacksonville,AL,36265,Parking Available,(256) 435-8100
128,-87.254556,33.843721,Walmart Supercenter,#0287,No Gas,1801 Hwy 78 E,Jasper,AL,35501,Parking Available,(205) 384-1100
129,-86.519748,33.562104,Walmart Supercenter,#0562,Gas/Diesel,8551 Whitfield Ave; I-20 Exit 144,Leeds,AL,35094,Parking Available,(205) 699-0701
130,-86.521053,33.562292,Murphy USA,#7555,Gas/Diesel,8559 Whitfield Ave; I-20 Exit 144,Leeds,AL,35094,Parking Available,(305) 699-7005
131,-86.74917,34.79353,Walmart Neighborhood Market,#7342,Gas,7140 Wall Triana Hwy,Madison,AL,35757,No Parking,(256) 970-6193
132,-86.7302,34.756393,Walmart Pickup,#5746,Gas,7520 Hwy 72 W; I-59 Exit 4,Madison,AL,35758,Parking Available,(256) 721-6402
133,-86.773289,34.749878,Walmart Supercenter,#5703,No Gas,8580 Hwy 72,Madison,AL,35758,Parking Available,(256) 716-6951
134,-86.740257,34.681766,Murphy USA,#5721,Gas,8600 Madison Blvd; I-565 Exit 9,Madison,AL,35758,Parking Available,(256) 464-3955
135,-86.740697,34.682772,Walmart Supercenter,#2690,Gas,8650 Madison Blvd; I-565 Exit 9,Madison,AL,35758,Parking Available,(256) 461-7403
136,-86.399215,32.494634,Walmart Supercenter,#4318,Gas/Diesel,145 Kelley Blvd; I-65 Exit 181,Millbrook,AL,36054,No Parking,(334) 285-0311
137,-86.3062676,32.331387,Murphy USA,#7502,Gas/Diesel,35 Kelley Blvd; I-65 Exit 181,Millbrook,AL,36054,Parking Available,(334) 285-5437
138,-88.125032,30.683536,Walmart Supercenter,#0991,No Gas,101 S Beltline Hwy,Mobile,AL,36606,No Parking,(251) 471-1105
139,-88.16761,30.713487,Walmart Neighborhood Market,#4210,Gas,1300 N University Blvd,Mobile,AL,36618,No Parking,(251) 586-6227
140,-88.1613223,30.6495582,Murphy USA,#6880,Gas/Diesel,1970 S University Blvd,Mobile,AL,36609,No Parking,(251) 665-2380
141,-88.161798,30.649465,Walmart Neighborhood Market,#5098,Gas/Diesel,1970 S University Blvd,Mobile,AL,36609,No Parking,(251) 666-3373
142,-88.247149,30.639031,Walmart Supercenter,#4581,No Gas,2500 Dawes Rd,Mobile,AL,36695,Parking Available,(251) 633-6023
143,-88.103716,30.668953,Walmart Neighborhood Market,#5740,Gas,2570 Government Blvd,Mobile,AL,36606,No Parking,(251) 586-6481
144,-88.162626,30.594576,Walmart Supercenter,#0866,No Gas,5245 Rangeline Service Rd,Mobile,AL,36619,No Parking,(251) 666-7972
145,-88.123167,30.678167,Sam's Club,#8102,Gas,601 E; I-65 Service Rd S; I-65 Exit 3,Mobile,AL,36606,Parking Available,(251) 479-1346
146,-88.189511,30.640966,Walmart Neighborhood Market,#4657,No Gas,6350 Cottage Hill Rd,Mobile,AL,36609,No Parking,(251) 661-1717
147,-88.194899,30.679921,Walmart Neighborhood Market,#4648,No Gas,6575 Airport Blvd,Mobile,AL,36608,No Parking,(2510 370-9845
148,-88.223742,30.677928,Walmart Supercenter,#0853,No Gas,685 Schillinger Rd,Mobile,AL,36695,Parking Available,(251) 633-2211
149,-88.229125,30.763425,Murphy USA,#6987,Gas/Diesel,7855 Moffett Rd,Mobile,AL,36618,Parking Available,(251) 645-4144
150,-87.33097,31.48112,Walmart Supercenter,#1493,No Gas,3371 S Alabama Ave,Monroeville,AL,36460,Parking Available,(251) 575-3333
151,-86.1339951,32.3571968,Murphy USA,#7501,Gas/Diesel,10620 Chantilly Pkwy; I-85 Exit 11,Montgomery,AL,36117,Parking Available,(334) 277-5017
152,-86.133813,32.355393,Walmart Supercenter,#4407,Gas/Diesel,10710 Chantilly Pkwy; I-85 Exit 11,Montgomery,AL,36117,No Parking,(334) 272-7377
153,-86.214737,32.465771,Sam's Club,#8106,Gas,1080 Eastern Blvd; I-85 Exit 6,Montgomery,AL,36117,Parking Available,(334) 272-0277
154,-86.267625,32.403706,Walmart Neighborhood Market,#4672,Gas,1600 Federal Dr,Montgomery,AL,36109,Parking Available,(334) 777-5865
155,-86.23261,32.326823,Walmart Supercenter,#0930,Gas/Diesel,3801 Eastern Blvd,Montgomery,AL,36116,Parking Available,(334) 284-4181
156,-86.232821,32.327816,Murphy USA,#7556,Gas/Diesel,3809 Eastern Blvd,Montgomery,AL,36116,Parking Available,(334) 244-9168
157,-86.186348,32.3830223,Murphy USA,#6728,Gas/Diesel,6401 Atlanta Hwy,Montgomery,AL,36117,Parking Available,(334) 396-8749
158,-86.184597,32.384223,Walmart Supercenter,#0938,Gas/Diesel,6495 Atlanta Hwy,Montgomery,AL,36117,Parking Available,(334) 272-0263
159,-86.175159,32.338768,Walmart Neighborhood Market,#4691,Gas,8035 Vaughn Rd,Montgomery,AL,36116,Parking Available,(334) 777-5881
160,-86.2709134,32.37113,Murphy USA,#7339,Gas/Diesel,805 Ann St; I-85 Exit 3,Montgomery,AL,36107,Parking Available,(334) 834-9674
161,-86.269382,32.370347,Walmart Supercenter,#5348,Gas/Diesel,851 Ann St; I-85 Exit 3,Montgomery,AL,36107,Parking Available,(334) 223-7177
162,-87.3112717,34.66576,Murphy USA,#7571,Gas/Diesel,15441 Hwy 24,Moulton,AL,35650,Parking Available,(256) 974-6031
163,-87.276973,34.494578,Walmart Supercenter,#0394,Gas/Diesel,15445 Hwy 24,Moulton,AL,35650,No Parking,(256) 974-1128
164,-87.7119651,34.7453778,Murphy USA,#5368,Gas,517 W Avalon Ave,Muscle Shoals,AL,35661,Parking Available,(256) 314-4620
165,-87.673706,34.746723,Walmart Supercenter,#0660,Gas,517 W Avalon Ave,Muscle Shoals,AL,35661,Parking Available,(256) 381-0987
166,-87.573538,33.23909,Walmart Neighborhood Market,#5248,Gas,1660 McFarland Blvd,Northport,AL,35476,Parking Available,(205) 861-1263
167,-87.6131363,33.2358665,Murphy USA,#5593,Gas,5700 McFarland Blvd,Northport,AL,35476,Parking Available,(205) 339-3876
168,-87.61419,33.236196,Walmart Supercenter,#2306,Gas,5710 Mcfarland Blvd,Northport,AL,35476,No Parking,(205) 333-7820
169,-86.447084,33.971806,Walmart Supercenter,#0315,No Gas,2453 2nd Ave E,Oneonta,AL,35121,No Parking,(205) 625-6474
170,-85.421653,32.637052,Walmart Supercenter,#0355,Gas/Diesel,2900 Pepperell Pkwy; I-85 Exit 58,Opelika,AL,36801,Parking Available,(334) 745-9333
171,-85.4218246,32.6354134,Murphy USA,#6782,Gas/Diesel,2950 Pepperell Pkwy; I-85 Exit 58,Opelika,AL,36801,Parking Available,(334) 745-2266
172,-87.593859,30.268534,Walmart Neighborhood Market,#5653,No Gas,25241 Perdido Blvd,Orange Beach,AL,36561,Parking Available,(251) 974-1810
173,-86.485785,34.658484,Walmart Supercenter,#5197,Gas/Diesel,330 Sutton Rd,Owens Cross Roads,AL,35763,Parking Available,(256) 534-4140
174,-86.4855713,34.6599354,Murphy USA,#7262,Gas/Diesel,386 Sutton Rd,Owens Cross Roads,AL,35763,Parking Available,(256) 533-1313
175,-85.776366,33.610335,Sam's Club,#4836,Gas/Diesel,1900 Oxford Exchange Blvd; I-20 Exit 188,Oxford,AL,36203,Parking Available,(256) 342-0125
176,-85.833028,33.599795,Walmart Supercenter,#0809,No Gas,92 Plaza Lane; I-20 Exit 185,Oxford,AL,36203,Parking Available,(256) 835-4701
177,-85.650922,31.44433,Walmart Supercenter,#0740,Gas/Diesel,1537 S Hwy 231,Ozark,AL,36360,No Parking,(334) 774-0272
178,-85.6507927,31.4433707,Murphy USA,#6885,Gas/Diesel,1579 S Hwy 231,Ozark,AL,36360,Parking Available,(334) 774-2558
179,-86.791032,33.339511,Walmart Supercenter,#5262,Gas/Diesel,2181 Pelham Pkwy; I-65 Exit 246,Pelham,AL,35124,Parking Available,(205) 987-0108
180,-86.792188,33.3384304,Murphy USA,#7051,Gas/Diesel,2191 Pelham Pkwy; I-65 Exit 246,Pelham,AL,35124,Parking Available,(205) 739-0051
181,-86.2799136,33.6091357,Murphy USA,#6952,Gas/Diesel,145 Vaughan Lane; I-20 Exit 158,Pell City,AL,35125,Parking Available,(205) 338-1106
182,-86.278017,33.609551,Walmart Supercenter,#5113,Gas/Diesel,165 Vaughan Lane; I-20 Exit 158,Pell City,AL,35125,Parking Available,(205) 338-5300
183,-85.043407,32.500236,Walmart Supercenter,#1284,No Gas,3700 Hwy 280/431 N,Phenix City,AL,36867,Parking Available,(334) 291-1700
184,-85.076644,32.467116,Walmart Neighborhood Market,#5903,Gas,3864 Hwy 80 W,Phenix City,AL,36870,Parking Available,(334) 408-6069
185,-86.416339,32.462164,Walmart Supercenter,#0483,No Gas,1903 Cobbs Ford Rd; I-65 Exit 181,Prattville,AL,36066,Parking Available,(334) 361-2135
186,-85.365101,33.164394,Walmart Supercenter,#0863,Gas/Diesel,4180 Hwy 431,Roanoke,AL,36274,Parking Available,(334) 863-2147
187,-85.3668956,33.1637831,Murphy USA,#7030,Gas/Diesel,4214 Hwy 431,Roanoke,AL,36274,Parking Available,(334) 863-6218
